custid,gender
0,1
1,1
2,1
3,0
4,0
5,1
6,1
7,0
8,0
9,0
10,0
11,1
12,1
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,1
21,0
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,1
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,1
54,0
55,0
56,1
57,0
58,0
59,1
60,0
61,1
62,0
63,1
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,1
94,1
95,1
96,0
97,0
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,1
106,1
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,0
125,0
126,0
127,0
128,1
129,1
130,0
131,0
132,1
133,0
134,0
135,1
136,1
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,0
147,0
148,1
149,1
150,0
151,1
152,0
153,0
154,0
155,1
156,1
157,0
158,1
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,1
194,0
195,0
196,1
197,1
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,1
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,1
215,1
216,1
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,1
225,0
226,0
227,1
228,0
229,0
230,1
231,0
232,0
233,1
234,1
235,0
236,1
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,0
246,1
247,0
248,0
249,1
250,1
251,0
252,1
253,1
254,0
255,1
256,0
257,0
258,1
259,0
260,1
261,0
262,0
263,1
264,1
265,0
266,0
267,0
268,0
269,1
270,0
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,1
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,1
293,1
294,1
295,0
296,0
297,0
298,1
299,1
300,0
301,0
302,1
303,0
304,0
305,0
306,1
307,0
308,0
309,1
310,0
311,0
312,1
313,0
314,0
315,1
316,0
317,0
318,0
319,0
320,0
321,1
322,1
323,0
324,0
325,0
326,1
327,0
328,1
329,0
330,0
331,0
332,0
333,1
334,0
335,0
336,1
337,1
338,1
339,0
340,0
341,1
342,0
343,1
344,1
345,0
346,0
347,0
348,0
349,1
350,0
351,0
352,1
353,1
354,0
355,0
356,1
357,1
358,0
359,0
360,0
361,1
362,1
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,1
378,0
379,0
380,0
381,1
382,0
383,1
384,1
385,0
386,0
387,0
388,1
389,0
390,0
391,0
392,0
393,1
394,0
395,0
396,0
397,1
398,0
399,1
400,0
401,1
402,1
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,0
411,0
412,1
413,0
414,1
415,0
416,0
417,0
418,0
419,1
420,1
421,1
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,1
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,1
452,0
453,1
454,0
455,1
456,0
457,0
458,1
459,1
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,1
473,0
474,1
475,0
476,0
477,0
478,1
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,1
496,1
497,1
498,1
499,0
500,0
501,1
502,0
503,0
504,0
505,0
506,1
507,0
508,0
509,1
510,0
511,0
512,1
513,1
514,0
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,1
524,0
525,1
526,0
527,1
528,0
529,1
530,0
531,0
532,0
533,0
534,0
535,1
536,1
537,1
538,0
539,0
540,1
541,1
542,0
543,1
544,1
545,1
546,0
547,0
548,0
549,0
550,0
551,1
552,0
553,1
554,0
555,0
556,0
557,1
558,1
559,0
560,1
561,0
562,0
563,1
564,0
565,0
566,1
567,0
568,0
569,0
570,0
571,1
572,1
573,1
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,1
583,1
584,1
585,0
586,1
587,1
588,1
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,1
597,0
598,0
599,1
600,0
601,1
602,1
603,1
604,1
605,0
606,0
607,0
608,0
609,1
610,0
611,1
612,0
613,0
614,0
615,0
616,0
617,0
618,1
619,0
620,0
621,0
622,0
623,1
624,1
625,0
626,1
627,1
628,1
629,0
630,0
631,1
632,0
633,1
634,1
635,0
636,0
637,0
638,1
639,0
640,0
641,1
642,0
643,0
644,1
645,1
646,0
647,0
648,1
649,1
650,0
651,1
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,1
661,1
662,0
663,0
664,0
665,0
666,1
667,0
668,0
669,0
670,1
671,0
672,0
673,1
674,1
675,1
676,0
677,0
678,0
679,1
680,1
681,0
682,0
683,1
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,1
693,0
694,1
695,0
696,0
697,0
698,1
699,0
700,0
701,1
702,0
703,1
704,1
705,1
706,0
707,0
708,0
709,0
710,0
711,1
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,1
720,0
721,0
722,0
723,1
724,0
725,0
726,1
727,1
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,1
740,1
741,0
742,1
743,0
744,0
745,0
746,1
747,1
748,1
749,0
750,1
751,0
752,1
753,0
754,1
755,0
756,0
757,0
758,0
759,0
760,0
761,1
762,0
763,0
764,0
765,1
766,0
767,1
768,0
769,0
770,0
771,0
772,0
773,0
774,1
775,1
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,1
784,0
785,1
786,0
787,0
788,0
789,1
790,1
791,0
792,0
793,0
794,0
795,1
796,0
797,1
798,0
799,0
800,0
801,0
802,1
803,0
804,0
805,1
806,1
807,1
808,0
809,0
810,0
811,0
