,날짜,기준금리
294,2021-01-05,0.75
293,2021-01-04,0.75
292,2021-01-03,0.75
291,2021-01-02,0.75
290,2021-01-01,0.75
289,2020-12-31,0.75
288,2020-12-30,0.75
287,2020-12-29,0.75
286,2020-12-28,0.75
285,2020-12-27,0.75
284,2020-12-26,0.75
283,2020-12-25,0.75
282,2020-12-24,0.75
281,2020-12-23,0.75
280,2020-12-22,0.75
279,2020-12-21,0.75
278,2020-12-20,0.75
277,2020-12-19,0.75
276,2020-12-18,0.75
275,2020-12-17,0.75
274,2020-12-16,0.75
273,2020-12-15,0.75
272,2020-12-14,0.75
271,2020-12-13,0.75
270,2020-12-12,0.75
269,2020-12-11,0.75
268,2020-12-10,0.75
267,2020-12-09,0.75
266,2020-12-08,0.75
265,2020-12-07,0.75
264,2020-12-06,0.75
263,2020-12-05,0.75
262,2020-12-04,0.75
261,2020-12-03,0.75
260,2020-12-02,0.75
259,2020-12-01,0.75
258,2020-11-30,0.75
257,2020-11-29,0.75
256,2020-11-28,0.75
255,2020-11-27,0.75
254,2020-11-26,0.75
253,2020-11-25,0.75
252,2020-11-24,0.75
251,2020-11-23,0.75
250,2020-11-22,0.75
249,2020-11-21,0.75
248,2020-11-20,0.75
247,2020-11-19,0.75
246,2020-11-18,0.75
245,2020-11-17,0.75
244,2020-11-16,0.75
243,2020-11-15,0.75
242,2020-11-14,0.75
241,2020-11-13,0.75
240,2020-11-12,0.75
239,2020-11-11,0.75
238,2020-11-10,0.75
237,2020-11-09,0.75
236,2020-11-08,0.75
235,2020-11-07,0.75
234,2020-11-06,0.75
233,2020-11-05,0.75
232,2020-11-04,0.75
231,2020-11-03,0.75
230,2020-11-02,0.75
229,2020-11-01,0.75
228,2020-10-31,0.75
227,2020-10-30,0.75
226,2020-10-29,0.75
225,2020-10-28,0.75
224,2020-10-27,0.75
223,2020-10-26,0.75
222,2020-10-25,0.75
221,2020-10-24,0.75
220,2020-10-23,0.75
219,2020-10-22,0.75
218,2020-10-21,0.75
217,2020-10-20,0.75
216,2020-10-19,0.75
215,2020-10-18,0.75
214,2020-10-17,0.75
213,2020-10-16,0.75
212,2020-10-15,0.75
211,2020-10-14,0.75
210,2020-10-13,0.75
209,2020-10-12,0.75
208,2020-10-11,0.75
207,2020-10-10,0.75
206,2020-10-09,0.75
205,2020-10-08,0.75
204,2020-10-07,0.75
203,2020-10-06,0.75
202,2020-10-05,0.75
201,2020-10-04,0.75
200,2020-10-03,0.75
199,2020-10-02,0.75
198,2020-10-01,0.75
197,2020-09-30,0.75
196,2020-09-29,0.75
195,2020-09-28,0.75
194,2020-09-27,0.75
193,2020-09-26,0.75
192,2020-09-25,0.75
191,2020-09-24,0.75
190,2020-09-23,0.75
189,2020-09-22,0.75
188,2020-09-21,0.75
187,2020-09-20,0.75
186,2020-09-19,0.75
185,2020-09-18,0.75
184,2020-09-17,0.75
183,2020-09-16,0.75
182,2020-09-15,0.75
181,2020-09-14,0.75
180,2020-09-13,0.75
179,2020-09-12,0.75
178,2020-09-11,0.75
177,2020-09-10,0.75
176,2020-09-09,0.75
175,2020-09-08,0.75
174,2020-09-07,0.75
173,2020-09-06,0.75
172,2020-09-05,0.75
171,2020-09-04,0.75
170,2020-09-03,0.75
169,2020-09-02,0.75
168,2020-09-01,0.75
167,2020-08-31,0.75
166,2020-08-30,0.75
165,2020-08-29,0.75
164,2020-08-28,0.75
163,2020-08-27,0.75
162,2020-08-26,0.75
161,2020-08-25,0.75
160,2020-08-24,0.75
159,2020-08-23,0.75
158,2020-08-22,0.75
157,2020-08-21,0.75
156,2020-08-20,0.75
155,2020-08-19,0.75
154,2020-08-18,0.75
153,2020-08-17,0.75
152,2020-08-16,0.75
151,2020-08-15,0.75
150,2020-08-14,0.75
149,2020-08-13,0.75
148,2020-08-12,0.75
147,2020-08-11,0.75
146,2020-08-10,0.75
145,2020-08-09,0.75
144,2020-08-08,0.75
