,Unnamed: 0,date,콜금리,date2,call2,up_down
0,0,2021.01.06,0.48,2020-12-09,0.48,same
1,1,2021.01.05,0.48,2020-12-08,0.49,down
2,2,2021.01.04,0.53,2020-12-07,0.46,up
3,3,2020.12.31,0.61,2020-12-03,0.46,up
4,4,2020.12.30,0.57,2020-12-02,0.47,up
5,5,2020.12.24,0.55,2020-11-26,0.48,up
6,6,2020.12.23,0.56,2020-11-25,0.52,up
7,7,2020.12.22,0.52,2020-11-24,0.56,down
8,8,2020.12.21,0.51,2020-11-23,0.56,down
9,9,2020.12.18,0.48,2020-11-20,0.55,down
10,10,2020.12.15,0.49,2020-11-17,0.53,down
11,11,2020.12.14,0.5,2020-11-16,0.52,down
12,12,2020.12.11,0.5,2020-11-13,0.47,up
13,13,2020.12.10,0.49,2020-11-12,0.47,up
14,14,2020.12.09,0.48,2020-11-11,0.5,down
15,15,2020.12.04,0.48,2020-11-06,0.54,down
16,16,2020.12.03,0.48,2020-11-05,0.54,down
17,17,2020.12.02,0.48,2020-11-04,0.46,up
18,18,2020.12.01,0.51,2020-11-03,0.47,up
19,19,2020.11.30,0.6,2020-11-02,0.55,up
20,20,2020.11.25,0.51,2020-10-28,0.48,up
21,21,2020.11.24,0.52,2020-10-27,0.48,up
22,22,2020.11.23,0.51,2020-10-26,0.49,up
23,23,2020.11.20,0.49,2020-10-23,0.46,up
24,24,2020.11.19,0.49,2020-10-22,0.47,up
25,25,2020.11.16,0.48,2020-10-19,0.46,up
26,26,2020.11.13,0.48,2020-10-16,0.46,up
27,27,2020.11.12,0.48,2020-10-15,0.49,down
28,28,2020.11.11,0.48,2020-10-14,0.47,up
29,29,2020.11.10,0.49,2020-10-13,0.48,up
30,30,2020.11.05,0.46,2020-10-08,0.43,up
31,31,2020.11.04,0.46,2020-10-07,0.49,down
32,32,2020.11.03,0.47,2020-10-06,0.49,down
33,33,2020.11.02,0.48,2020-10-05,0.52,down
34,34,2020.10.30,0.52,2020-10-02,0.55,down
35,35,2020.10.27,0.56,2020-09-29,0.49,up
36,36,2020.10.26,0.56,2020-09-28,0.5,up
37,37,2020.10.23,0.55,2020-09-25,0.53,up
38,38,2020.10.22,0.53,2020-09-24,0.53,same
39,39,2020.10.21,0.52,2020-09-23,0.5,up
40,40,2020.10.16,0.47,2020-09-18,0.51,down
41,41,2020.10.15,0.47,2020-09-17,0.52,down
42,42,2020.10.14,0.5,2020-09-16,0.49,up
43,43,2020.10.13,0.54,2020-09-15,0.47,up
44,44,2020.10.12,0.54,2020-09-14,0.47,up
45,45,2020.10.06,0.46,2020-09-08,0.5,down
46,46,2020.10.05,0.47,2020-09-07,0.49,down
47,47,2020.09.29,0.55,2020-09-01,0.51,up
48,48,2020.09.28,0.48,2020-08-31,0.51,down
49,49,2020.09.25,0.48,2020-08-28,0.49,down
50,50,2020.09.22,0.49,2020-08-25,0.48,up
51,51,2020.09.21,0.46,2020-08-24,0.47,down
52,52,2020.09.18,0.47,2020-08-21,0.46,up
53,53,2020.09.17,0.46,2020-08-20,0.45,up
54,54,2020.09.16,0.46,2020-08-19,0.46,same
55,55,2020.09.11,0.49,2020-08-14,0.44,up
56,56,2020.09.10,0.47,2020-08-13,0.46,up
57,57,2020.09.09,0.48,2020-08-12,0.48,same
58,58,2020.09.08,0.43,2020-08-11,0.5,down
59,59,2020.09.07,0.49,2020-08-10,0.49,same
60,60,2020.09.02,0.49,2020-08-05,0.48,up
61,61,2020.09.01,0.52,2020-08-04,0.48,up
62,62,2020.08.31,0.55,2020-08-03,0.5,up
63,63,2020.08.28,0.49,2020-07-31,0.47,up
64,64,2020.08.27,0.5,2020-07-30,0.48,up
65,65,2020.08.24,0.53,2020-07-27,0.57,down
66,66,2020.08.21,0.53,2020-07-24,0.49,up
67,67,2020.08.20,0.5,2020-07-23,0.48,up
68,68,2020.08.19,0.51,2020-07-22,0.47,up
69,69,2020.08.18,0.52,2020-07-21,0.47,up
70,70,2020.08.12,0.49,2020-07-15,0.46,up
71,71,2020.08.11,0.47,2020-07-14,0.46,up
72,72,2020.08.10,0.47,2020-07-13,0.46,up
73,73,2020.08.07,0.5,2020-07-10,0.46,up
74,74,2020.08.06,0.49,2020-07-09,0.49,same
75,75,2020.08.03,0.51,2020-07-06,0.49,up
76,76,2020.07.31,0.51,2020-07-03,0.5,up
77,77,2020.07.30,0.49,2020-07-02,0.46,up
78,78,2020.07.29,0.48,2020-07-01,0.47,up
79,79,2020.07.28,0.47,2020-06-30,0.47,same
80,80,2020.07.23,0.46,2020-06-25,0.49,down
81,81,2020.07.22,0.45,2020-06-24,0.49,down
82,82,2020.07.21,0.46,2020-06-23,0.72,down
83,83,2020.07.20,0.44,2020-06-22,0.72,down
84,84,2020.07.17,0.46,2020-06-19,0.72,down
85,85,2020.07.14,0.48,2020-06-16,0.73,down
86,86,2020.07.13,0.5,2020-06-15,0.72,down
87,87,2020.07.10,0.49,2020-06-12,0.71,down
88,88,2020.07.09,0.48,2020-06-11,0.72,down
89,89,2020.07.08,0.48,2020-06-10,0.72,down
90,90,2020.07.03,0.5,2020-06-05,0.73,down
91,91,2020.07.02,0.47,2020-06-04,0.73,down
92,92,2020.07.01,0.48,2020-06-03,0.72,down
93,93,2020.06.30,0.57,2020-06-02,0.76,down
94,94,2020.06.29,0.49,2020-06-01,0.73,down
95,95,2020.06.24,0.48,2020-05-27,0.73,down
96,96,2020.06.23,0.47,2020-05-26,0.74,down
97,97,2020.06.22,0.47,2020-05-25,0.75,down
98,98,2020.06.19,0.46,2020-05-22,0.75,down
99,99,2020.06.18,0.46,2020-05-21,0.74,down
100,100,2020.06.15,0.46,2020-05-18,0.73,down
101,101,2020.06.12,0.46,2020-05-15,0.74,down
102,102,2020.06.11,0.49,2020-05-14,0.73,down
103,103,2020.06.10,0.49,2020-05-13,0.73,down
104,104,2020.06.09,0.5,2020-05-12,0.74,down
105,105,2020.06.04,0.46,2020-05-07,0.75,down
106,106,2020.06.03,0.47,2020-05-06,0.73,down
107,107,2020.06.02,0.47,2020-05-05,0.8,down
108,108,2020.06.01,0.49,2020-05-04,0.76,down
109,109,2020.05.29,0.49,2020-05-01,0.75,down
110,110,2020.05.26,0.72,2020-04-28,0.73,down
111,111,2020.05.25,0.72,2020-04-27,0.73,down
112,112,2020.05.22,0.72,2020-04-24,0.73,down
113,113,2020.05.21,0.73,2020-04-23,0.72,up
114,114,2020.05.20,0.72,2020-04-22,0.73,down
115,115,2020.05.15,0.71,2020-04-17,0.76,down
116,116,2020.05.14,0.72,2020-04-16,1.27,down
117,117,2020.05.13,0.72,2020-04-15,1.24,down
118,118,2020.05.12,0.73,2020-04-14,1.25,down
119,119,2020.05.11,0.73,2020-04-13,1.26,down
120,120,2020.05.06,0.72,2020-04-08,1.24,down
121,121,2020.04.29,0.76,2020-04-01,1.25,down
122,122,2020.04.28,0.73,2020-03-31,1.26,down
123,123,2020.04.27,0.73,2020-03-30,1.26,down
124,124,2020.04.24,0.74,2020-03-27,1.23,down
125,125,2020.04.21,0.75,2020-03-24,1.25,down
126,126,2020.04.20,0.75,2020-03-23,1.25,down
127,127,2020.04.17,0.74,2020-03-20,1.23,down
128,128,2020.04.16,0.73,2020-03-19,1.24,down
129,129,2020.04.14,0.74,2020-03-17,1.23,down
130,130,2020.04.09,0.73,2020-03-12,1.24,down
131,131,2020.04.08,0.73,2020-03-11,1.24,down
132,132,2020.04.07,0.74,2020-03-10,1.26,down
133,133,2020.04.06,0.75,2020-03-09,1.24,down
134,134,2020.04.03,0.73,2020-03-06,1.22,down
135,135,2020.03.31,0.8,2020-03-03,1.23,down
136,136,2020.03.30,0.76,2020-03-02,1.23,down
137,137,2020.03.27,0.75,2020-02-28,1.25,down
138,138,2020.03.26,0.73,2020-02-27,1.24,down
139,139,2020.03.25,0.73,2020-02-26,1.25,down
140,140,2020.03.20,0.73,2020-02-21,1.26,down
141,141,2020.03.19,0.72,2020-02-20,1.28,down
142,142,2020.03.18,0.73,2020-02-19,1.28,down
143,143,2020.03.17,0.76,2020-02-18,1.28,down
144,144,2020.03.16,1.27,2020-02-17,1.27,same
145,145,2020.03.11,1.24,2020-02-12,1.27,down
146,146,2020.03.10,1.25,2020-02-11,1.27,down
147,147,2020.03.09,1.26,2020-02-10,1.28,down
