,지역,유가,주유소명,브랜드,주소,셀프주유소여부
0,강남구,1423,오일프러스 셀프,SK에너지,서울 강남구 남부순환로 2651 (도곡동),Y
1,강남구,1425,(주)보성 세곡주유소,SK에너지,서울 강남구  헌릉로 731 (세곡동),Y
2,강남구,1433,현대오일뱅크 도곡셀프주유소,현대오일뱅크,서울 강남구  남부순환로 2718 (도곡2동),Y
3,강남구,1439,방죽주유소,GS칼텍스,서울 강남구 밤고개로 215 (율현동),Y
4,강남구,1445,GS칼텍스(주)직영 산성주유소,GS칼텍스,서울 강남구 헌릉로 730,Y
5,강남구,1448,현대오일뱅크(주) 유진주유소,현대오일뱅크,서울 강남구 논현로 152 (도곡동),N
6,강남구,1457,자곡셀프주유소,SK에너지,서울 강남구 밤고개로 120 (자곡동),Y
7,강남구,1465,지에스칼텍스㈜ GS타워주유소,GS칼텍스,서울 강남구 논현로 516 (역삼동),N
8,강남구,1465,지에스칼텍스㈜ 주성주유소,GS칼텍스,서울 강남구 영동대로 716,N
9,강남구,1465,SK서광주유소,SK에너지,서울 강남구 역삼로 142,Y
10,강남구,1465,지에스칼텍스㈜ 은마주유소,GS칼텍스,서울 강남구 영동대로 235,N
11,강남구,1466,지에스칼텍스㈜ 삼성로주유소,GS칼텍스,서울 강남구 삼성로 563 (삼성동),Y
12,강남구,1466,현대오일뱅크㈜직영 오천주유소,현대오일뱅크,서울 강남구 봉은사로 503 (삼성동),N
13,강남구,1475,SK에너지(주) 매봉주유소,SK에너지,서울 강남구 언주로 307,Y
14,강남구,1475,역삼주유소,GS칼텍스,서울 강남구 역삼로 205 (역삼동),N
15,강남구,1475,(주)선진도곡주유소,S-OIL,서울 강남구 도곡로 162 (도곡동),N
16,강남구,1475,SK에너지㈜ 진달래주유소,SK에너지,서울 강남구 도곡로 208,N
17,강남구,1475,에쓰-오일㈜직영 개나리주유소,S-OIL,서울 강남구 언주로 423 (역삼동),N
18,강남구,1497,(유)동하석유 힐탑셀프주유소,SK에너지,서울 강남구 논현로 640,Y
19,강남구,1498,대동석유 압구정주유소,SK에너지,서울 강남구 언주로 842 (신사동),Y
20,강남구,1518,(주)중앙에너비스 수서지점,SK에너지,서울 강남구 광평로 202 (수서동),Y
21,강남구,1528,현대오일뱅크㈜직영 삼성동주유소,현대오일뱅크,서울 강남구 테헤란로 619 (삼성동),N
22,강남구,1538,일원주유소,S-OIL,서울 강남구 양재대로55길 3 (일원동),Y
23,강남구,1538,에스제이에너지산업(주) 개포주유소,GS칼텍스,서울 강남구 양재대로 339,N
24,강남구,1550,대교주유소,SK에너지,서울 강남구 강남대로 640 (신사동),N
25,강남구,1596,현대오일뱅크(주)직영 신사현대주유소,현대오일뱅크,서울 강남구 도산대로 163 (신사동),N
26,강남구,1618,현대오일뱅크(주)직영 한양주유소,현대오일뱅크,서울 강남구 압구정로 302 (신사동),N
27,강남구,1697,㈜새서울석유 새서울주유소,현대오일뱅크,서울 강남구 압구정로 154,N
28,강남구,1758,명품주유소,S-OIL,서울 강남구 도곡로 249 (역삼동),N
29,강남구,1797,대성석유(주)동호주유소,GS칼텍스,서울 강남구 봉은사로113길 51,N
30,강남구,1856,대청주유소,SK에너지,서울 강남구 개포로 654 (일원동),N
31,강남구,1918,경원주유소,S-OIL,서울 강남구 도산대로 428 (청담동),N
32,강남구,1920,갤러리아주유소,SK에너지,서울 강남구 압구정로 426,N
33,강남구,1936,학여울주유소,GS칼텍스,서울 강남구  남부순환로 3170 (일원2동),N
34,강남구,1938,SK논현주유소,SK에너지,서울 강남구 논현로 747 (논현동),N
35,강남구,1953,(주)만정에너지,GS칼텍스,서울 강남구 봉은사로 433 (삼성동),N
36,강남구,1963,(주)소모에너지엔테크놀러지 쎈트럴주유소,GS칼텍스,서울 강남구 삼성로 335,N
37,강남구,2025,뉴서울(강남),SK에너지,서울 강남구 언주로 716 (논현동),N
119,강동구,1443,구천면주유소,현대오일뱅크,서울 강동구 구천면로 357 (암사동),N
120,강동구,1448,지에스칼텍스㈜ 신월주유소,GS칼텍스,서울 강동구 양재대로 1323 (성내동),N
121,강동구,1456,현대오일뱅크㈜직영 고속셀프주유소,현대오일뱅크,서울 강동구 천호대로 1246,Y
122,강동구,1459,현대오일뱅크㈜직영 명일셀프주유소,현대오일뱅크,서울 강동구 고덕로 168 (명일동),Y
123,강동구,1468,지에스칼텍스㈜ 동서울주유소,GS칼텍스,서울 강동구 천호대로 1456 (상일동),Y
124,강동구,1474,주)지유에너지직영 오렌지주유소,SK에너지,서울 강동구 성안로 102 (성내동),N
125,강동구,1475,방아다리주유소,SK에너지,서울 강동구 동남로 811 (명일동),Y
126,강동구,1475,현대오일뱅크㈜직영 암사셀프주유소,현대오일뱅크,서울 강동구 올림픽로 749 (암사동),Y
127,강동구,1478,대성석유(주)직영 길동주유소,GS칼텍스,서울 강동구 천호대로 1168,N
128,강동구,1478,(주)퍼스트오일 코알라주유소,S-OIL,서울특별시 강동구  올림픽로 556 (성내동),Y
129,강동구,1495,sk해뜨는주유소,SK에너지,서울 강동구  상일로 132 (강일동),Y
130,강동구,1497,천호현대주유소,현대오일뱅크,서울 강동구 천중로 67 (천호동),N
131,강동구,1498,(주)소모에너지엔테크놀러지 성내주유소,GS칼텍스,서울 강동구 올림픽로 578 (성내동),Y
132,강동구,1508,(주)삼표에너지 고덕주유소,GS칼텍스,서울 강동구 고덕로 39 (암사동),N
133,강동구,1548,광성주유소,S-OIL,서울 강동구 올림픽로 673 (천호동),N
134,강동구,1923,강동주유소,SK에너지,서울 강동구 양재대로 1509 (길동),N
168,강북구,1391,수유동주유소,GS칼텍스,서울 강북구 도봉로 395 (수유동),Y
169,강북구,1394,덕릉로주유소,S-OIL,서울 강북구 덕릉로 158 (번동),N
170,강북구,1399,(주)석산에너지,현대오일뱅크,서울 강북구 삼양로 316 (수유동),Y
171,강북구,1399,북서울고속주유소,S-OIL,서울 강북구 삼양로 410 (수유동),Y
172,강북구,1415,㈜지에스이앤알 미아주유소,GS칼텍스,서울 강북구 도봉로 122 (미아동),Y
