year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
2010-01-01,-4.9,-11,0.9,0,2808.517931
2010-01-02,-3.1,-5.5,5.5,0.8,
2010-01-03,-2.9,-6.9,1.4,0,
2010-01-04,-1.8,-5.1,2.2,5.9,2672.259172
2010-01-05,-5.2,-8.7,-1.8,0.7,2725.175195
2010-01-06,-7.3,-11.4,-2.5,0.3,2725.175195
2010-01-07,-6.7,-11.2,-1.2,0,2831.007241
2010-01-08,-5.6,-11.4,1.4,0,2831.007241
2010-01-09,-3.1,-8.8,1.8,0.1,
2010-01-10,-1.3,-5,2.8,0,
2010-01-11,-1.5,-5.1,2.1,0,2831.007241
2010-01-12,-5,-8.2,-1.7,0.4,2831.007241
2010-01-13,-8.3,-11.4,-4.6,0.7,2831.007241
2010-01-14,-6.4,-12.7,0,0.1,2831.007241
2010-01-15,-2.6,-7.9,3.9,0.1,2831.007241
2010-01-16,-4.1,-9.9,2.9,0,
2010-01-17,-3.1,-9.8,4.9,0,
2010-01-18,-0.4,-7.1,7.7,0,2831.007241
2010-01-19,3.6,-4.6,11,0.3,2831.007241
2010-01-20,8,4.9,11.3,10.8,2877.308762
2010-01-21,1.3,-3.6,7.9,3.1,2924.933182
2010-01-22,-3.1,-5.7,0.8,0,2924.933182
2010-01-23,-2.7,-6.6,2,0.1,
2010-01-24,0.4,-5.5,5.8,0,
2010-01-25,0.8,-4.3,5.4,0,2924.933182
2010-01-26,-2.3,-7.7,4.3,0,2881.277463
2010-01-27,1.3,-5.9,7.4,6.5,2881.277463
2010-01-28,3.5,-0.7,7.4,0.1,3057.22324
2010-01-29,0.2,-4.3,5,0,3100.87896
2010-01-30,1.9,-3.3,7.5,0,
2010-01-31,3,-1.3,9.4,0,
2010-02-01,2.2,-1,6.8,0.2,3148.50338
2010-02-02,-2,-5.5,1.8,0,3333.709462
2010-02-03,-4.9,-8.6,-0.3,0,3465.99952
2010-02-04,-2.9,-8.4,2.2,0.1,3598.289578
2010-02-05,-1.8,-5.9,3,0,3730.579636
2010-02-06,-2.6,-8.5,4.7,0,
2010-02-07,1.2,-8.3,8.6,0.1,
2010-02-08,4.9,2.8,7.3,2.7,3942.243728
2010-02-09,5.6,3.6,7.8,6.9,4021.617763
2010-02-10,5.1,4,6.5,9,4021.617763
2010-02-11,2.4,0.7,5.2,17.3,4074.533786
2010-02-12,0.7,-0.6,2.7,3.1,4206.823844
2010-02-13,-0.7,-3.3,2.2,1.9,
2010-02-14,-1.2,-4.9,2.5,0,
2010-02-15,-0.5,-4.4,5,0.1,4206.823844
2010-02-16,-1.6,-5,3.2,0.6,4206.823844
2010-02-17,-1.2,-6.1,3.6,0.4,4339.113902
2010-02-18,-1.1,-4.8,2.4,0.5,4365.571914
2010-02-19,-0.6,-6.1,5.4,0.1,4365.571914
2010-02-20,2.2,-4.2,9.7,0,
2010-02-21,3.7,-3.4,11.6,0,
2010-02-22,5.2,-0.8,12.8,0,4312.655891
2010-02-23,6.4,-1.2,16.4,0,4312.655891
2010-02-24,11.2,1.2,18.9,0,4365.571914
2010-02-25,13.4,10.3,16.4,33.4,4312.655891
2010-02-26,9.4,6,13.5,4.1,4418.487937
2010-02-27,6.3,3.8,9.2,1.5,
2010-02-28,7.1,3,12.6,0.1,
2010-03-01,5.4,3.4,8,15.6,4418.487937
2010-03-02,4.2,1.8,6.9,0.3,4418.487937
2010-03-03,5.2,-0.4,10.5,0,4974.106181
2010-03-04,5.9,4.4,7.2,3.9,5106.396239
2010-03-05,6.9,5,9.4,3.8,5476.808401
2010-03-06,5.5,3.1,8.1,3.3,
2010-03-07,4.2,2.3,7,0.9,
2010-03-08,3.8,0.1,7.6,0.9,5556.182436
2010-03-09,2.3,-0.8,5.8,5.7,5820.762552
2010-03-10,-0.3,-2.9,2.6,3.9,5820.762552
2010-03-11,3,-2.8,8.4,0,5820.762552
2010-03-12,8.3,1.7,14.5,0,5688.472494
2010-03-13,6.1,1.6,12.5,0,
2010-03-14,8,1,12.9,1.1,
2010-03-15,9.4,4.5,14.4,16.5,5820.762552
2010-03-16,3.2,-0.4,7.2,0,5688.472494
2010-03-17,2.4,-2.7,7.3,1.1,5873.678575
2010-03-18,2.1,-1.8,6.5,2.3,5873.678575
2010-03-19,6,-3.5,13.9,0,5873.678575
2010-03-20,10.9,5.1,18.5,1,
2010-03-21,4.7,1,9.3,0,
2010-03-22,4.4,0.4,8,2,5873.678575
2010-03-23,7,3.3,11.4,2.4,6138.258691
2010-03-24,8.3,3.9,13.1,0.1,6191.174715
2010-03-25,5.1,1.4,8.5,4.6,6323.464773
2010-03-26,3.2,-2,8,0,6455.754831
2010-03-27,5.6,0.5,10,0.9,
2010-03-28,6.2,1.7,11.4,0,
