시군구,지목,용도지역,도로조건,계약년월,계약일,계약면적(㎡),거래금액(만원),지분구분,해제사유발생일
세종특별자치시 전동면 보덕리,임야,농림지역,-,201801,1,331,"1,050",지분,
세종특별자치시 전동면 봉대리,임야,농림지역,-,201801,1,330,"1,190",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,1,331,"1,290",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,1,2645,"10,320",지분,
세종특별자치시 장군면 은용리,임야,농림지역,-,201801,1,1652,"11,450",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,1,529,"2,064",지분,
세종특별자치시 전동면 보덕리,임야,농림지역,-,201801,1,662,"2,100",지분,
세종특별자치시 전동면 봉대리,임야,농림지역,-,201801,1,661,"2,380",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,1,661,"2,580",지분,
세종특별자치시 전동면 보덕리,임야,농림지역,-,201801,1,991.5,"3,150",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,1,992,"3,870",지분,
세종특별자치시 장군면 은용리,임야,농림지역,-,201801,1,661,"4,580",지분,
세종특별자치시 전동면 봉대리,임야,농림지역,-,201801,1,166,595,지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,1,165,645,지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,1,330,690,지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,1,198,774,지분,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,2,115.71,"1,012",지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,2,165,"1,025",지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,2,165,"1,035",지분,
세종특별자치시 전동면 보덕리,임야,농림지역,-,201801,2,331,"1,050",지분,
세종특별자치시 전의면 금사리,임야,농림지역,8m미만,201801,2,364,"1,078",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,2,429.75,"1,079",지분,
세종특별자치시 전동면 노장리,임야,농림지역,-,201801,2,661.16,"1,080",지분,
세종특별자치시 전동면 봉대리,임야,보전관리지역,-,201801,2,330.58,"1,100",지분,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,2,132.23,"1,156",지분,
세종특별자치시 금남면 부용리,임야,농림지역,8m미만,201801,2,132.24,"1,156",지분,
세종특별자치시 전의면 금사리,임야,농림지역,8m미만,201801,2,331,"1,215",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201801,2,495.87,"1,245",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,2,330.58,"1,290",지분,
세종특별자치시 금남면 부용리,임야,농림지역,8m미만,201801,2,165,"1,445",지분,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201801,2,165,"1,445",지분,
세종특별자치시 금남면 부용리,임야,농림지역,8m미만,201801,2,175.21,"1,532",지분,
세종특별자치시 전동면 송정리,임야,농림지역,-,201801,2,495,"1,935",지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,2,330,"1,950",지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201801,2,330,"1,970",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201801,2,13838,"19,764",지분,
