시군구,단지명,전용면적(㎡),거래금액(만원),층,계약년월,계약일,분/입구분,해제사유발생일
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.6138,"        37,725",5,201710,11,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        22,169",2,201710,13,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        22,569",17,201710,13,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        33,572",16,201710,14,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        32,072",12,201710,14,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        24,269",2,201710,15,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.7788,"        38,511",6,201710,17,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        33,072",12,201710,17,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.6138,"        41,925",5,201710,17,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        34,072",14,201710,18,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.6138,"        40,980",6,201710,20,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.6138,"        41,356",7,201710,20,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        32,572",12,201710,20,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.7788,"        35,711",2,201710,21,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        32,772",5,201710,24,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.8632,"        35,037",3,201710,25,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        24,569",6,201710,30,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        32,572",5,201711,1,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.6138,"        40,316",13,201711,2,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        23,569",7,201711,3,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        25,069",5,201711,3,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.8632,"        35,307",3,201711,7,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        25,569",14,201711,8,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.8632,"        35,507",3,201711,9,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        26,569",14,201711,10,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        35,072",15,201711,10,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.6663,"        39,463",1,201711,10,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.6138,"        38,826",16,201711,13,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        22,560",2,201711,13,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        25,889",9,201711,13,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        25,863",5,201711,13,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        25,863",5,201711,13,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),59.6506,"        25,569",13,201711,14,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        33,342",11,201711,16,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),105.6138,"        35,680",2,201711,18,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.6663,"        39,689",1,201711,24,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.6663,"        39,689",1,201711,24,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        34,372",9,201711,24,분,
세종특별자치시 고운동,가락마을 19단지(세종파라곤),84.9544,"        32,572",11,201711,27,분,
