상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,행정동코드,행정동명,도로명주소,lon,lat
D,소매,D21,철물/난방/건설자재소매,D21A06,철물/건설자재소매,G47511,철물 및 난방용구 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 새내로 90-1, (정리)",127.2985524,36.59991993
D,소매,D21,철물/난방/건설자재소매,D21A02,보일러/냉난방용품,G47511,철물 및 난방용구 소매업,3611037000,전의면,"세종특별자치시 전의면 왕의물로 40, (동교리)",127.2042975,36.68252626
F,생활서비스,F15,주택수리,F15A03,배관난방보일러,F42201,배관 및 냉·난방 공사업,3611036000,연서면,"세종특별자치시 연서면 당산로 322, (봉암리)",127.28099,36.56052257
Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,3611034000,금남면,"세종특별자치시 금남면 채나무길 61-3, (국곡리)",127.2705614,36.42663689
D,소매,D11,유아용품,D11A03,유아용품판매,G47599,그외 기타 분류안된 가정용품 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 충현로 159, (침산리, 욱일2차)",127.2941772,36.60292216
Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,3611025000,조치원읍,"세종특별자치시 조치원읍 행복4길 14, (침산리)",127.2914037,36.60431158
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611034000,금남면,"세종특별자치시 금남면 용포2길 70, (용포리, 두진리버빌)",127.2797133,36.46326433
D,소매,D08,사무/문구/컴퓨터,D08A01,사무/문구용품,G47612,문구용품 소매업,3611031000,연기면,세종특별자치시 세종특별자치시 연기면 양화2길 49-7,127.2953449,36.50391272
F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,3611025000,조치원읍,"세종특별자치시 조치원읍 조치원로 61-1, (상리)",127.3032555,36.60267818
Q,음식,Q03,일식/수산물,Q03A20,복전문,I56111,한식 음식점업,3611034000,금남면,"세종특별자치시 금남면 성덕영곡길 168-5, (영곡리)",127.2642428,36.45331956
R,학문/교육,R09,학원기타,R09A01,학원(종합),P85501,일반 교과 학원,3611025000,조치원읍,"세종특별자치시 조치원읍 새내로 133, (교리)",127.2973329,36.60375189
D,소매,D25,기타판매업,D25A02,복권판매,R91241,복권발행 및 판매업,3611025000,조치원읍,"세종특별자치시 조치원읍 행복길 11, (침산리)",127.2909982,36.60342599
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611025000,조치원읍,"세종특별자치시 조치원읍 번암안동네길 6, (번암리)",127.2924226,36.58331049
D,소매,D08,사무/문구/컴퓨터,D08A03,컴퓨터/사무용기기종합,G47311,"컴퓨터 및 주변장치, 소프트웨어 소매업",3611034000,금남면,"세종특별자치시 금남면 용포로 74, (용포리)",127.2812918,36.46510333
D,소매,D21,철물/난방/건설자재소매,D21A11,태양열온수기판매,G47511,철물 및 난방용구 소매업,3611057000,대평동,"세종특별자치시 금남구즉로 19, (대평동)",127.2829916,36.46953857
D,소매,D03,종합소매점,D03A02,수퍼마켓,G47121,슈퍼마켓,3611051000,한솔동,"세종특별자치시 노을3로 25, (한솔동)",127.259329,36.48084862
D,소매,D01,음/식료품소매,D01A03,정육점,G47212,육류 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 조치원6길 13-2, (원리)",127.2996844,36.60080977
Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,3611037000,전의면,"세종특별자치시 전의면 운주산로 1191, (읍내리)",127.2046787,36.6791854
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611036000,연서면,"세종특별자치시 연서면 세종로 2109, (월하리)",127.2914531,36.5756805
Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,3611025000,조치원읍,"세종특별자치시 조치원읍 행복12길 5-12, (침산리)",127.2930673,36.60451972
Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,기타 주점업,3611025000,조치원읍,"세종특별자치시 조치원읍 행복5길 27-5, (침산리)",127.2926674,36.60546362
L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,3611036000,연서면,"세종특별자치시 연서면 세종로 2085, (월하리)",127.290467,36.57354778
Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,3611025000,조치원읍,"세종특별자치시 조치원읍 조치원6길 13-6, (원리)",127.2998518,36.60083779
D,소매,D16,화장품소매,D16A01,화장품판매점,G47813,화장품 및 방향제 소매업,3611025000,조치원읍,"세종특별자치시 조치원읍 새내로 5-1, (정리)",127.2988016,36.59956092
F,생활서비스,F02,세탁/가사서비스,F02A01,세탁소/빨래방,S96912,가정용 세탁업,3611025000,조치원읍,"세종특별자치시 조치원읍 충현로 72, 101동  (죽림리, 삼일)",127.2971306,36.59525231
N,관광/여가/오락,N02,무도/유흥/가무,N02A01,노래방,R91223,노래연습장 운영업,3611025000,조치원읍,"세종특별자치시 조치원읍 조치원1길 10, (원리)",127.297509,36.60159003
