읍면동,계,1인,2인,3인,4인,5인,6인,7인,8인,9인,10인이상
조치원읍,19472,8295,4165,3042,2729,944,220,63,9,4,1
연 기 면,1445,855,299,133,101,36,11,7,1,2,0
연 동 면,1680,834,461,206,114,44,14,5,1,0,1
부 강 면,3249,1603,821,420,273,93,34,3,0,0,2
금 남 면,4509,2128,1283,589,328,122,41,12,6,0,0
장 군 면,3453,1956,806,332,200,106,35,11,6,1,0
연 서 면,3834,1863,1022,484,276,129,38,16,3,2,1
전 의 면,3045,1551,753,352,244,107,29,8,0,1,0
전 동 면,2130,1224,491,213,124,57,15,6,0,0,0
소 정 면,1231,565,308,160,127,58,9,1,2,1,0
한 솔 동,6333,1069,1134,1468,1944,584,101,25,5,1,2
새 롬 동,20495,6019,3980,4283,4754,1201,201,39,12,4,2
도 담 동,13136,5002,2117,2383,2825,667,106,29,3,4,0
아 름 동,7560,1058,1262,1858,2656,597,98,20,7,1,3
종 촌 동,10691,2525,2049,2420,2847,675,120,34,17,2,2
고 운 동,11436,2025,2341,2839,3240,814,145,19,7,4,2
소 담 동,10973,2754,2268,2597,2545,671,106,27,1,1,3
보 람 동,6810,1536,1363,1544,1802,471,69,20,2,2,1
대 평 동,3926,857,977,932,886,228,33,9,4,0,0
