계약년월,계약일,시군구,본번,부번,단지명,전용면적(㎡),거래금액(만원),층,건축년도,해제사유발생일
201701,1,세종특별자치시 보람동,743,0,스타힐타워Ⅰ,16.9849,"8,600",7,2016,
201701,1,세종특별자치시 종촌동,683,0,가재마을2단지,59.8652,"27,300",7,2014,
201701,2,세종특별자치시 고운동,1393,0,가락마을15단지(중흥파크뷰),84.9894,"32,000",3,2015,
201701,2,세종특별자치시 고운동,1706,0,가락마을8단지(고운뜰아파트),84.98,"30,500",20,2015,
201701,2,세종특별자치시 아름동,1284,0,범지기마을7단지 호반에코시티,84.928,"31,300",6,2014,
201701,2,세종특별자치시 어진동,649,0,호수의 아침,17.425,"7,600",4,2014,
201701,2,세종특별자치시 연서면 봉암리,622,0,대원네스트빌,59.858,"9,400",5,2002,
201701,2,세종특별자치시 조치원읍 신안리,542,0,세종e편한세상,84.7067,"19,000",11,2013,
201701,2,세종특별자치시 조치원읍 신흥리,398,0,신흥대우푸르지오,84.9228,"13,000",8,2006,
201701,2,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,128.9491,"22,500",8,2008,
201701,2,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6682,"19,850",4,2008,
201701,2,세종특별자치시 한솔동,947,0,첫마을3단지(퍼스트프라임),59.83,"25,000",4,2011,
201701,3,세종특별자치시 종촌동,690,0,가재마을 5단지,59.9383,"28,900",19,2014,
201701,4,세종특별자치시 아름동,1277,0,대우푸르지오(10단지),101.9478,"39,500",8,2014,
201701,4,세종특별자치시 조치원읍 신안리,542,0,세종e편한세상,99.6514,"21,400",7,2013,
201701,4,세종특별자치시 조치원읍 신흥리,398,0,신흥대우푸르지오,84.9228,"18,300",2,2006,
201701,4,세종특별자치시 조치원읍 신흥리,399,0,조치원 신흥 e편한세상(아),118.198,"23,900",1,2008,
201701,4,세종특별자치시 조치원읍 죽림리,72,0,죽림우방유셀,130.2173,"21,000",4,2008,
201701,4,세종특별자치시 한솔동,974,0,첫마을6단지(힐스테이트),101.46,"36,700",20,2012,
201701,5,세종특별자치시 조치원읍 신흥리,393,0,신흥주공,49.29,"11,000",19,1999,
201701,5,세종특별자치시 종촌동,690,0,가재마을 5단지,59.9383,"27,300",8,2014,
201701,6,세종특별자치시 도담동,627,0,엘가에코힐(도램마을5단지),59.9973,"29,300",25,2015,
201701,6,세종특별자치시 도담동,627,0,엘가에코힐(도램마을5단지),59.9973,"30,000",12,2015,
201701,6,세종특별자치시 도담동,858,0,도램마을 14단지(한림풀에버),99.986,"50,000",13,2015,
201701,6,세종특별자치시 아름동,1282,0,한신엘리트파크(범지기9단지),99.9834,"34,000",8,2015,
201701,6,세종특별자치시 아름동,1284,0,범지기마을7단지 호반에코시티,84.757,"31,000",1,2014,
201701,6,세종특별자치시 연동면 명학리,255,0,다산청정,41.328,"5,000",8,2001,
201701,6,세종특별자치시 장군면 금암리,259,1,정보마을,28.2616,"2,000",4,2002,
201701,6,세종특별자치시 조치원읍 죽림리,92,0,신동아,59.76,"9,200",3,1996,
201701,6,세종특별자치시 조치원읍 죽림리,92,0,신동아,59.76,"9,200",3,1996,
201701,6,세종특별자치시 조치원읍 죽림리,396,0,조치원죽림자이,84.6641,"18,500",6,2008,
201701,6,세종특별자치시 한솔동,939,0,첫마을1단지(퍼스트프라임),84.96,"32,700",6,2011,
201701,7,세종특별자치시 고운동,1400,0,이지더원(가락마을10단지),72.497,"24,500",2,2015,
201701,7,세종특별자치시 나성동,714,0,에스알파크,35.193,"12,900",7,2014,
201701,7,세종특별자치시 도담동,633,0,도램마을20단지(에듀파크),84.857,"35,700",11,2014,
201701,7,세종특별자치시 도담동,633,0,도램마을20단지(에듀파크),84.857,"36,000",21,2014,
