계약년월,계약일,시군구,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),거래금액(만원),층,건축년도,해제사유발생일
201701,3,세종특별자치시 조치원읍 원리,132,7,고려1동,62.08,36.31,"4,700",2,1983,
201701,13,세종특별자치시 조치원읍 침산리,167,6,용성빌라,64.23,42.25,"6,500",2,1991,
201701,18,세종특별자치시 전의면 관정리,262,6,홍성맨션3차,53.965,77.15,"4,300",4,2002,
201701,26,세종특별자치시 조치원읍 서창리,140,11,삼현빌라,48.53,37.3,"4,000",2,1989,
201702,1,세종특별자치시 조치원읍 신흥리,106,0,주공연립,67.9,133.43,"12,800",1,1984,
201703,13,세종특별자치시 조치원읍 죽림리,4,9,동진빌라(나),48.41,30.34,"5,000",2,1990,
201703,15,세종특별자치시 부강면 부강리,490,0,부강경남빌라,63.33,44.38,"5,700",1,1994,
201703,19,세종특별자치시 부강면 부강리,1008,1,송정빌라,27.74,24.06,"2,000",1,2001,
201703,20,세종특별자치시 조치원읍 서창리,144,15,초원빌라(A),50.49,63.75,"6,000",1,1991,
201703,27,세종특별자치시 조치원읍 남리,242,3,상당맨션,59.77,35.03,"6,000",3,2003,
201703,30,세종특별자치시 연기면 연기리,601,5,수정다세대주택(2동),70.83,54.25,"5,200",1,1994,
201703,31,세종특별자치시 연기면 보통리,340,11,강람6동강람7동,58.77,36.5,"4,000",3,1993,
201704,10,세종특별자치시 부강면 부강리,401,170,(합)주연주택,56.55,49.38,"6,500",3,1990,
201704,14,세종특별자치시 전의면 관정리,259,3,"정원빌리지(101,102동)",56.46,62.96,"6,300",2,2010,
201704,14,세종특별자치시 전의면 관정리,259,3,"정원빌리지(101,102동)",56.46,62.96,"6,300",2,2010,
201704,18,세종특별자치시 부강면 부강리,1008,1,송정빌라,22.42,19.44,"1,900",1,2001,
201704,19,세종특별자치시 조치원읍 서창리,140,28,장미연립,48.69,42.83,"5,900",2,1991,
201704,20,세종특별자치시 조치원읍 신흥리,17,2,우성빌라(가동및나동),55.32,39,"5,750",1,1991,
201704,21,세종특별자치시 연기면 연기리,3,15,(3-15),79.39,76.7,"14,000",2,2015,
201705,4,세종특별자치시 조치원읍 원리,132,16,고려4동,61.26,49.77,"6,500",2,1984,
201705,6,세종특별자치시 조치원읍 신흥리,106,0,주공연립,57.51,113.04,"10,650",3,1984,
201705,7,세종특별자치시 조치원읍 신흥리,106,0,주공연립,57.51,113.04,"9,900",3,1984,
201705,13,세종특별자치시 부강면 부강리,526,0,(526-0),64.82,121.64,"12,000",1,2012,
201705,15,세종특별자치시 금남면 용포리,53,2,학산빌라,68.09,58.39,"8,000",4,1995,
201705,17,세종특별자치시 전의면 동교리,200,5,아카시아빌라,76.5,57,"9,500",1,1997,
201705,25,세종특별자치시 연서면 봉암리,422,8,세룡빌라,72.57,78.17,"5,350",3,1992,
201705,26,세종특별자치시 조치원읍 신흥리,106,0,주공연립,55.35,108.78,"9,900",1,1984,
201705,26,세종특별자치시 조치원읍 정리,44,11,정동빌라1,72.36,56.01,"10,000",3,1992,
201705,27,세종특별자치시 연기면 보통리,340,3,대명,59.93,49.29,"4,600",2,1992,
201705,29,세종특별자치시 조치원읍 신흥리,106,0,주공연립,67.9,133.43,"12,000",1,1984,
201705,30,세종특별자치시 전의면 관정리,259,3,"정원빌리지(101,102동)",56.46,62.96,"5,400",1,2010,
201705,30,세종특별자치시 조치원읍 신흥리,121,6,신흥빌라,58.86,50.6,"6,000",2,1989,
201705,31,세종특별자치시 조치원읍 정리,44,12,정동빌라2,72.36,56.14,"9,700",1,1992,
201706,2,세종특별자치시 조치원읍 신흥리,106,0,주공연립,67.9,133.43,"12,500",2,1984,
201706,5,세종특별자치시 전의면 관정리,259,3,"정원빌리지(101,102동)",56.46,62.96,"5,600",1,2010,
201706,5,세종특별자치시 조치원읍 침산리,148,7,무궁화(나),53.16,51.44,"4,000",1,1989,
201706,8,세종특별자치시 부강면 부강리,1008,1,송정빌라,27.74,24.06,"2,000",2,2001,
201706,8,세종특별자치시 부강면 부강리,1008,1,송정빌라,27.74,24.06,"2,000",3,2001,
201706,11,세종특별자치시 전의면 관정리,262,5,홍성맨션2차,53.965,75.94,"5,100",1,2002,
201706,14,세종특별자치시 연기면 연기리,443,10,보성풀하우스 102동,83.2,69.48,"11,300",4,2014,
201706,14,세종특별자치시 조치원읍 신흥리,106,0,주공연립,67.9,133.43,"13,500",2,1984,
201706,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,20.0687,19.19,"5,590",4,2015,
201706,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,20.717,19.81,"5,823",3,2015,
201706,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,15.881,15.19,"4,193",2,2015,
201706,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,15.881,15.19,"4,426",4,2015,
201706,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,15.881,15.19,"4,193",2,2015,
201706,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,15.8259,15.13,"4,193",2,2015,
201706,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,21.2244,20.3,"5,590",2,2015,
201706,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,22.589,21.6,"6,289",4,2015,
201706,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,19.157,18.32,"5,124",2,2015,
201706,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,22.589,21.6,"6,289",4,2015,
201706,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,22.0257,21.06,"6,173",4,2015,
201706,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,16.661,15.93,"4,426",2,2015,
201706,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,16.661,15.93,"4,426",2,2015,
201706,20,세종특별자치시 조치원읍 정리,112,0,세진시티빌,16.661,15.93,"4,426",2,2015,
