계약년월,계약일,시군구,도로조건,계약면적(㎡),전월세구분,보증금(만원),월세(만원),건축년도
201707,28,세종특별자치시 고운동,25m미만,249.78,전세,"30,000",0,2015
201706,2,세종특별자치시 금남면 감성리,8m미만,51.34,월세,"3,000",20,1973
201712,1,세종특별자치시 금남면 대박리,12m미만,70.2,월세,"2,000",80,2014
201712,15,세종특별자치시 금남면 도남리,8m미만,112.63,월세,"5,000",55,1998
201712,3,세종특별자치시 금남면 도암리,8m미만,20,월세,100,10,1999
201710,24,세종특별자치시 금남면 두만리,8m미만,44.84,월세,300,20,1954
201711,13,세종특별자치시 금남면 두만리,-,127,월세,"5,000",80,2001
201712,21,세종특별자치시 금남면 두만리,-,127,월세,"5,000",80,2001
201707,15,세종특별자치시 금남면 성덕리,8m미만,30,전세,"2,000",0,1986
201711,2,세종특별자치시 금남면 영치리,8m미만,120.54,월세,"3,000",20,2017
201712,6,세종특별자치시 금남면 용포리,8m미만,19.8,전세,"4,000",0,2013
201703,20,세종특별자치시 금남면 용포리,12m미만,20,월세,100,10,2004
201705,16,세종특별자치시 금남면 용포리,8m미만,20,전세,"4,000",0,2013
201704,24,세종특별자치시 금남면 용포리,8m미만,20,전세,"3,500",0,2013
201708,3,세종특별자치시 금남면 용포리,8m미만,21,전세,"3,500",0,2013
201708,8,세종특별자치시 금남면 용포리,8m미만,21,전세,"3,800",0,2012
201709,23,세종특별자치시 금남면 용포리,8m미만,23.1,전세,"5,000",0,2014
201703,5,세종특별자치시 금남면 용포리,12m미만,23.14,전세,"5,500",0,2013
201701,19,세종특별자치시 금남면 용포리,-,23.66,전세,"5,500",0,2012
201705,8,세종특별자치시 금남면 용포리,8m미만,24,전세,"4,500",0,2013
201704,15,세종특별자치시 금남면 용포리,8m미만,25,월세,100,35,2011
201701,4,세종특별자치시 금남면 용포리,8m미만,29.7,월세,"2,000",19,2012
201706,20,세종특별자치시 금남면 용포리,12m미만,30,월세,100,30,2013
201708,29,세종특별자치시 금남면 용포리,8m미만,30,월세,100,40,2012
201704,3,세종특별자치시 금남면 용포리,8m미만,30,전세,"5,000",0,2013
201701,4,세종특별자치시 금남면 용포리,8m미만,30,전세,"5,500",0,2012
201704,17,세종특별자치시 금남면 용포리,8m미만,30,전세,"6,000",0,2012
201708,21,세종특별자치시 금남면 용포리,8m미만,30,전세,"5,000",0,2012
201704,27,세종특별자치시 금남면 용포리,8m미만,30,전세,"5,000",0,2013
201711,1,세종특별자치시 금남면 용포리,-,33,전세,"6,000",0,2013
201711,15,세종특별자치시 금남면 용포리,8m미만,33,전세,"5,000",0,2013
201711,16,세종특별자치시 금남면 용포리,-,33,전세,"5,000",0,2013
201710,22,세종특별자치시 금남면 용포리,8m미만,33,전세,"5,500",0,2012
