* 통계표명 :,중위매매가격_아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,2012년 01월 ~ 2021년 02월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,2012년 01월 ~ 2021년 02월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,한국부동산원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.20 15:50:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월
전국,,,,243071,242850,242530,241681,240375,239015,237952,236622,235081,234119,233261,231890,230965,229913,229502,229970,230488,230418,230028,229720,230041,230968,231435,231940,233826,234934,236171,236783,236651,236656,236951,237528,238711,239454,239980,240224,239797,240709,242213,243901,245152,246771,257992,258839,260238,261554,262739,263435,263430,263264,263258,263121,263483,263655,263886,264534,264664,265478,266264,266294,266232,266248,266359,266600,267082,268474,269320,270893,271185,271737,272213,294817,297034,299375,300397,300674,300807,300746,300868,301329,303753,304553,304615,304302,328771,327765,326361,325268,324231,323430,322986,322798,323162,323810,325143,328115,342706,344669,346766,348038,348678,350537,354523,357563,360039,361030,363620,367683,371744,377104
수도권,,,,337376,336897,335938,334265,331650,329083,327272,324916,321828,319787,317964,314987,313204,311282,310490,311001,311369,310713,309556,308927,309343,310552,310788,311313,312944,314973,317095,317965,317624,317318,317566,318487,320654,321592,322097,322166,321605,323048,325452,327922,330017,332588,344947,346186,348407,350284,352096,353286,353285,353004,353068,352895,353853,354454,355191,356233,356258,357805,359036,359002,358754,358907,359182,359931,361182,364125,365852,369067,369731,370793,371874,408429,412976,418103,420584,421722,422922,423529,424347,426018,431780,434026,434860,434780,475423,473796,471438,469980,468392,467365,467170,467186,468304,469970,472478,478091,502500,505529,509160,511544,512705,515259,522046,526410,529260,530096,533141,537769,543088,551233
지방권,,,,148479,148516,148839,148815,148822,148673,148360,148059,148070,148190,148302,148286,148224,148047,148021,148599,149267,149785,150165,150179,150405,151049,151749,152232,154376,154559,154905,155260,155337,155654,156143,156376,156572,157120,157666,158086,158745,159131,159743,160657,161071,161748,174588,175059,175669,176449,177032,177253,177245,177188,177117,177012,176804,176565,176310,176579,177686,177803,178167,178258,178370,178257,178212,177971,177723,177642,177652,177666,177605,177671,177574,187109,187115,186816,186455,185916,185037,184343,183804,183118,182378,181808,181138,180604,190828,190405,189898,189149,188631,188043,187364,186984,186639,186328,186556,187044,192360,193320,193973,194199,194349,195555,196905,198699,200823,201960,204121,207652,210530,213271
6대광역시,,,,178533,178323,178450,178310,177911,177451,176770,176080,175697,175327,175080,175308,174964,174398,174249,175220,176053,176498,177100,177170,177594,178473,179446,180023,183200,183363,184217,184884,185018,185247,185910,186192,186508,187107,187664,188099,189184,189770,190655,191986,192768,194115,213331,214019,214858,216104,217424,217930,218084,218071,218027,218152,218076,218142,218267,218928,220391,220951,221613,221953,222203,222154,222214,222232,222125,222154,222341,222721,223065,223295,223663,236234,236488,236193,235992,235491,234695,234126,233571,232917,232398,232255,231859,231662,241557,241199,240932,240596,240171,239850,239612,239359,239367,239098,239613,240775,255966,257640,258321,259787,260345,262096,263024,264409,266871,268495,272362,277504,282000,287415
5대광역시,,,,172800,172525,172890,172747,172616,172391,171765,171040,170876,170769,170777,171003,170866,170673,170648,171674,172693,173305,173953,173994,174345,175047,175801,176383,179723,179801,180314,180783,180903,181269,181972,182248,182491,183071,183638,184175,185136,185696,186604,187968,188758,189956,211086,211761,212692,214035,215376,215736,215854,215739,215636,215805,215803,215698,215644,216324,217393,217948,218719,219078,219345,219402,219478,219451,219336,219317,219485,219733,219806,220004,220235,233841,234080,233595,233325,232725,231932,231171,230686,230159,229495,229086,228588,228229,238517,238107,237820,237447,237131,236765,236568,236362,236417,236246,236910,238222,248587,250024,250114,250631,250854,252043,253136,254228,257189,259099,263210,269142,273537,278038
9개도,,,,195761,195992,195651,195328,194705,194345,193611,192962,191951,191228,190874,189997,188959,188128,187576,187386,187409,187605,187195,186974,187304,188204,188421,189008,190984,192189,193230,193857,193540,193645,193746,194151,194860,195595,196135,196518,196388,197249,198117,199427,200429,201423,207904,208605,209435,210378,210993,211287,211216,211196,211117,210869,210735,210710,210618,210801,211990,212094,212367,212313,212217,212208,212039,211827,211731,212006,212463,213264,213665,213875,213818,224951,225185,225735,226002,226135,225891,225350,225117,224590,225382,225958,226281,226162,240304,239769,238601,237071,235900,234989,234171,233899,234214,234500,235165,236210,247458,249708,252646,254850,256418,258328,261526,263691,265592,266208,268420,271941,275630,280218
8개도,,,,126740,127057,127341,127425,127556,127473,127440,127518,127686,128009,128213,128088,128066,127894,127864,128021,128342,128751,128882,128881,129016,129620,130265,130671,131590,131868,132068,132329,132368,132652,133042,133247,133413,133937,134467,134796,135078,135324,135684,136197,136283,136552,142374,142676,143058,143338,143275,143395,143277,143270,143185,142842,142428,142052,141612,141530,141754,141520,141424,141275,141222,140995,140856,140414,139928,139662,139454,139266,139088,138996,138649,144010,143817,143632,143196,142635,141601,140910,140251,139400,138575,137951,137129,136432,145504,145058,144349,143332,142628,141983,140874,140337,139642,139218,139024,138798,139591,139480,139454,139216,139244,140125,140993,141618,142133,142584,143036,144529,146243,147287
서울,,,,494112,492510,491508,487874,482988,477103,474405,469947,464866,462187,458786,455396,453775,451211,450775,453550,454978,453180,451137,449931,450085,451195,451546,451694,450883,453320,455813,456306,456277,455610,456107,457731,461859,462885,463314,462832,465558,467236,471850,475361,478235,482392,499231,500851,505173,507808,510606,512974,512894,511983,512218,511962,514667,515637,517082,519214,517817,521485,524014,523741,523160,523438,524577,526699,529963,537320,540529,546850,546700,548899,551397,625831,638081,650989,656713,658765,661690,664034,666422,672082,685171,688589,688652,687491,786190,782351,777985,777048,775282,774184,774596,774804,776007,779620,784674,797577,839206,839551,839376,836658,834101,835418,846835,853009,855920,856958,858339,862231,867027,874738
,강북지역,,,374375,374436,374061,372034,370599,368504,366568,364777,363183,360736,358143,357151,355911,354229,353257,352204,351220,352600,351341,350264,349843,349872,350170,350765,351941,353042,354181,354520,354550,354438,354150,354110,354941,356014,357349,357236,356952,357665,358945,360513,361397,363310,372448,374183,376308,378402,380499,381939,382001,382142,382387,382199,382454,382847,383224,384530,387691,389216,390629,391818,391995,392013,392795,394998,397111,400743,403752,407325,407171,407767,409076,472906,476590,484194,487532,489170,491203,493338,494898,501522,508796,511977,513159,512887,618054,615938,613275,611954,610627,609022,609733,609768,611400,613963,617005,620910,650903,652491,653604,652765,651913,652181,661955,666258,669553,671195,671743,674485,677114,682569
,,도심권,,641089,641089,640020,640020,638807,637093,636262,632662,628681,624527,623142,613361,613361,605315,601962,602632,597268,595731,592379,587686,587686,571592,571592,568910,561088,560919,560919,558236,557700,557700,557968,557870,558457,558457,561040,560772,557985,557985,558084,558084,558811,559909,578210,579184,579721,579999,580397,581054,581576,581775,581914,582113,582311,581505,581505,580178,583891,586520,587837,589664,590451,590689,591065,592837,593550,596105,602580,616170,616923,617022,618468,734055,747454,773025,782993,787687,790996,797085,803116,817317,829437,835510,834701,833422,1038524,1037780,1037036,1035752,1035009,1032442,1033186,1034497,1037347,1043901,1049899,1054969,1060793,1063904,1064638,1057767,1052955,1045809,1060001,1068066,1073025,1077984,1077984,1083445,1086009,1095779
