* 통계표명 :,평균단위매매가격_아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,2012년 01월 ~ 2021년 02월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,2012년 01월 ~ 2021년 02월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,한국부동산원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.21 15:44:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,㎡/천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월
전국,,,,3224,3220,3214,3206,3197,3181,3163,3142,3125,3111,3100,3078,3063,3055,3051,3048,3056,3055,3049,3042,3046,3060,3068,3074,3104,3114,3127,3130,3131,3132,3133,3139,3153,3166,3174,3179,3170,3181,3196,3219,3238,3258,3399,3413,3430,3448,3458,3467,3468,3465,3463,3464,3467,3469,3474,3480,3481,3494,3504,3506,3506,3508,3513,3518,3525,3540,3549,3563,3566,3572,3579,3933,3960,3989,4003,4008,4007,4004,4004,4012,4047,4062,4064,4058,4340,4326,4310,4292,4280,4272,4270,4270,4275,4291,4313,4358,4585,4609,4650,4666,4670,4697,4752,4791,4824,4843,4881,4943,5000,5071
수도권,,,,4387,4376,4360,4340,4321,4291,4261,4223,4191,4162,4140,4093,4065,4048,4040,4029,4040,4035,4019,4005,4009,4030,4038,4042,4078,4093,4114,4116,4113,4112,4113,4120,4142,4161,4169,4173,4158,4174,4198,4232,4261,4291,4452,4475,4500,4528,4540,4555,4556,4549,4549,4552,4560,4567,4579,4593,4590,4614,4631,4634,4634,4637,4649,4659,4673,4706,4724,4751,4757,4770,4787,5303,5363,5425,5458,5472,5478,5480,5485,5514,5589,5622,5628,5621,6097,6073,6049,6022,6005,5996,5999,6006,6020,6052,6092,6172,6562,6600,6671,6699,6707,6743,6826,6876,6913,6930,6967,7023,7095,7202
지방권,,,,2057,2060,2065,2068,2069,2066,2062,2058,2056,2057,2058,2057,2056,2055,2056,2062,2067,2071,2075,2076,2078,2086,2093,2101,2125,2131,2136,2141,2144,2147,2152,2155,2161,2168,2176,2183,2190,2196,2204,2216,2224,2234,2389,2395,2403,2412,2421,2424,2425,2424,2422,2421,2419,2416,2413,2412,2428,2431,2434,2435,2436,2435,2435,2434,2434,2434,2434,2435,2435,2434,2432,2634,2630,2627,2624,2620,2613,2605,2599,2589,2585,2583,2581,2576,2688,2682,2675,2666,2658,2650,2643,2638,2634,2634,2639,2651,2726,2736,2748,2753,2754,2773,2800,2830,2858,2879,2918,2986,3030,3066
6대광역시,,,,2400,2399,2401,2401,2399,2392,2383,2373,2368,2364,2363,2363,2359,2354,2352,2359,2365,2369,2374,2374,2377,2388,2398,2407,2444,2452,2460,2466,2470,2473,2478,2482,2490,2498,2506,2514,2524,2532,2543,2562,2577,2594,2799,2809,2821,2835,2848,2854,2854,2854,2853,2853,2854,2854,2855,2858,2880,2888,2898,2902,2904,2906,2907,2908,2911,2914,2917,2926,2931,2935,2938,3211,3212,3212,3213,3212,3210,3205,3201,3193,3194,3201,3205,3207,3316,3312,3307,3300,3295,3290,3286,3284,3287,3293,3306,3329,3471,3488,3525,3543,3553,3580,3606,3631,3665,3695,3750,3840,3904,3967
5대광역시,,,,2315,2315,2319,2320,2321,2317,2309,2301,2299,2299,2301,2304,2304,2303,2303,2310,2317,2322,2328,2330,2333,2341,2350,2360,2391,2398,2404,2410,2414,2417,2422,2427,2434,2442,2450,2459,2468,2476,2487,2505,2519,2536,2764,2774,2786,2801,2815,2821,2820,2820,2819,2818,2818,2817,2817,2819,2840,2849,2859,2864,2866,2868,2869,2870,2872,2875,2878,2886,2890,2893,2895,3169,3169,3169,3169,3169,3167,3161,3157,3151,3152,3160,3164,3164,3274,3270,3265,3256,3250,3245,3240,3239,3240,3247,3260,3284,3402,3417,3429,3434,3436,3458,3483,3512,3552,3587,3652,3756,3822,3880
9개도,,,,2646,2646,2645,2642,2637,2628,2615,2602,2589,2578,2568,2554,2541,2533,2528,2530,2536,2538,2535,2531,2533,2544,2551,2558,2580,2589,2600,2602,2603,2603,2605,2609,2621,2633,2641,2648,2648,2657,2669,2687,2700,2714,2803,2813,2824,2836,2846,2851,2853,2853,2851,2850,2849,2849,2849,2850,2862,2864,2867,2866,2865,2865,2865,2865,2867,2869,2872,2880,2882,2884,2885,3079,3081,3088,3093,3095,3092,3088,3083,3079,3093,3103,3107,3101,3276,3267,3256,3237,3223,3213,3207,3205,3207,3212,3223,3245,3388,3421,3472,3499,3512,3540,3584,3618,3646,3661,3697,3753,3808,3881
8개도,,,,1827,1831,1838,1843,1844,1843,1840,1840,1840,1841,1840,1836,1835,1834,1835,1839,1844,1846,1848,1848,1851,1857,1863,1869,1886,1891,1895,1899,1902,1905,1909,1912,1917,1924,1930,1936,1943,1947,1952,1958,1962,1966,2058,2062,2067,2070,2074,2077,2077,2077,2075,2072,2069,2064,2058,2055,2061,2059,2056,2054,2052,2050,2049,2046,2043,2039,2035,2031,2027,2023,2016,2146,2139,2133,2128,2120,2108,2098,2089,2076,2067,2057,2049,2039,2144,2136,2128,2119,2110,2101,2092,2083,2075,2069,2067,2068,2103,2107,2110,2111,2111,2123,2142,2156,2166,2173,2190,2229,2254,2273
서울,,,,6350,6329,6298,6257,6226,6172,6125,6063,6015,5971,5943,5886,5846,5827,5826,5803,5821,5805,5770,5742,5753,5783,5789,5786,5824,5846,5872,5875,5870,5867,5867,5878,5907,5934,5940,5939,5951,5973,6009,6057,6098,6144,6393,6432,6476,6518,6525,6553,6552,6533,6531,6541,6559,6570,6598,6627,6617,6677,6713,6717,6716,6723,6755,6777,6811,6892,6926,6973,6970,6993,7030,8000,8162,8310,8379,8404,8413,8417,8434,8514,8677,8725,8715,8691,9815,9764,9716,9679,9660,9654,9666,9683,9703,9769,9847,10010,10897,10896,10895,10862,10827,10843,10968,11025,11055,11066,11078,11113,11164,11245
,강북지역,,,4988,4981,4966,4947,4925,4899,4878,4855,4835,4808,4779,4757,4736,4716,4701,4687,4687,4682,4665,4641,4635,4651,4656,4660,4698,4711,4727,4735,4733,4731,4728,4729,4740,4756,4765,4768,4757,4768,4788,4815,4836,4860,4986,5013,5048,5083,5116,5135,5137,5140,5142,5145,5151,5161,5173,5190,5220,5246,5274,5285,5289,5291,5296,5314,5336,5376,5411,5438,5439,5449,5465,6421,6470,6545,6603,6629,6651,6676,6706,6766,6871,6914,6925,6917,8087,8065,8040,8017,8003,7994,7997,8009,8027,8069,8113,8162,8868,8888,8909,8914,8905,8913,9012,9067,9098,9112,9125,9152,9186,9254
,,도심권,,7294,7288,7256,7248,7237,7201,7176,7136,7085,7031,6978,6909,6891,6880,6857,6803,6793,6783,6751,6710,6694,6684,6678,6673,6679,6662,6657,6652,6645,6639,6638,6635,6641,6655,6664,6647,6624,6635,6653,6675,6688,6702,6927,6940,6957,6979,6998,7010,7014,7017,7020,7028,7037,7054,7077,7101,7126,7156,7184,7197,7207,7212,7229,7252,7278,7330,7373,7426,7433,7445,7471,9231,9331,9531,9653,9704,9750,9788,9849,9997,10142,10191,10202,10192,11683,11652,11622,11592,11576,11563,11568,11587,11613,11669,11734,11810,12925,12942,12955,12947,12929,12933,13029,13095,13135,13147,13161,13190,13226,13292
