* 통계표명 :,평균매매가격_아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,2012년 01월 ~ 2021년 02월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,2012년 01월 ~ 2021년 02월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,한국부동산원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.20 15:48:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월
전국,,,,264474,264035,263470,262630,261823,260425,258959,257163,255680,254426,253440,251459,250134,249292,248895,248952,249460,249330,248705,248058,248189,249144,249657,250066,252332,253063,253977,254180,254179,254207,254273,254646,255658,256639,257252,257685,256960,257770,258966,260724,262134,263642,274990,276080,277359,278709,279746,280443,280494,280335,280234,280278,280468,280692,281061,281537,281340,282377,283165,283287,283255,283334,283908,284256,284784,286026,286673,287768,287993,288461,289072,313552,315961,318503,319757,320248,320271,320157,320135,320944,323915,325205,325441,325014,349426,348312,347165,345809,344891,344322,344195,344332,344798,346156,348031,351787,366793,368783,372016,373252,373608,375821,380260,383529,386235,387973,391180,396418,401083,406808
수도권,,,,365249,364275,362790,360918,359253,356737,354214,350990,348174,345665,343658,339555,336993,335397,334587,334479,335098,334557,333043,331695,331817,333237,333697,333926,336244,337285,338751,338822,338573,338393,338403,338864,340449,341834,342503,342794,341618,342811,344602,347176,349354,351598,365184,366869,368793,370838,372256,373370,373471,373167,373086,373281,373777,374424,375336,376380,375791,377649,378956,379107,379016,379199,380393,381149,382206,384708,386036,388089,388511,389522,390922,427909,433036,438388,441072,442293,442791,443063,443484,445796,452134,454789,455343,454751,494703,492831,490992,488927,487610,487015,487319,487968,489161,491842,495204,501863,526563,529737,535290,537404,537976,540878,547544,551580,554605,556292,559427,564152,569996,578553
지방권,,,,163394,163491,163849,164044,164096,163820,163416,163052,162905,162910,162947,162827,162745,162663,162681,163065,163461,163744,164013,164069,164209,164697,165264,165853,168065,168487,168846,169182,169429,169668,169942,170225,170665,171240,171797,172371,173085,173514,174122,175072,175720,176498,188480,188998,189660,190342,191014,191312,191314,191295,191174,191072,190969,190788,190637,190566,191648,191905,192201,192294,192318,192298,192283,192244,192270,192317,192317,192501,192539,192492,192353,205138,204969,204847,204747,204545,204117,203639,203196,202580,202359,202355,202288,202019,212775,212376,211878,211189,210647,210102,209570,209226,209007,209122,209598,210622,216470,217346,218396,218805,218958,220524,222866,225414,227820,229605,232881,238600,242156,245216
6대광역시,,,,195186,194989,195093,195037,194851,194273,193523,192675,192214,191889,191779,191726,191331,190974,190763,191211,191628,191958,192211,192234,192400,193142,193891,194617,198338,198923,199502,199950,200228,200483,200798,201183,201818,202468,203153,203798,204626,205232,206169,207725,208834,210144,227197,227960,228905,230011,231115,231580,231568,231543,231496,231522,231569,231584,231664,231896,233641,234306,235045,235385,235533,235671,235755,235918,236128,236384,236642,237418,237889,238211,238508,257439,257577,257757,257913,258022,257979,257734,257504,257083,257274,257953,258452,258723,268938,268648,268373,267881,267546,267229,266913,266800,267117,267749,268875,270787,282145,283622,286740,288289,289127,291510,293779,295977,298907,301505,306330,313976,319357,324733
5대광역시,,,,190421,190312,190555,190603,190631,190183,189587,188896,188635,188600,188706,188903,188857,188740,188710,189225,189707,190141,190527,190658,190823,191394,192105,192886,195742,196295,196696,197130,197410,197702,198052,198448,199069,199714,200418,201164,201956,202576,203476,204987,206058,207360,226599,227391,228371,229570,230723,231154,231113,231094,231018,231016,231044,230980,230989,231163,232511,233236,234048,234436,234632,234766,234853,235024,235246,235461,235721,236473,236890,237153,237396,256837,257017,257173,257333,257482,257461,257185,256982,256667,256974,257748,258236,258432,268263,267982,267607,266998,266602,266200,265837,265822,266043,266713,267920,269942,279447,280685,281802,282207,282411,284258,286501,289025,292516,295565,301179,310102,315661,320582
9개도,,,,211371,211340,211142,210804,210270,209478,208457,207287,206076,205084,204184,203055,201991,201255,200779,200797,201184,201279,201020,200629,200680,201378,201823,202293,204261,204840,205623,205713,205701,205736,205777,206070,206921,207744,208338,208822,208933,209576,210404,211661,212638,213633,220179,220880,221707,222586,223278,223675,223761,223750,223632,223504,223431,223412,223399,223442,224810,225000,225208,225187,225121,225042,225027,225031,225094,225214,225472,226005,226229,226363,226407,238036,238264,239005,239525,239805,239625,239447,239152,238908,240035,240878,241227,240882,256875,256187,255377,254040,253004,252272,251913,251822,251997,252503,253455,255283,267026,269711,273689,275851,276896,279176,282802,285607,287988,289446,292432,297085,301537,307255
8개도,,,,139237,139518,139979,140306,140378,140256,140024,139951,139907,139948,139924,139546,139421,139358,139407,139667,139979,140125,140296,140290,140406,140814,141252,141672,143164,143471,143795,144050,144276,144473,144776,144967,145252,145764,146195,146618,147352,147614,147970,148429,148710,149027,155175,155464,155859,156102,156367,156556,156593,156569,156405,156213,155993,155706,155412,155121,155544,155396,155239,155071,154945,154798,154698,154459,154259,154001,153719,153381,153094,152780,152309,158639,158150,157775,157425,156891,156081,155401,154716,153821,153151,152481,151918,151234,161976,161477,160906,160207,159551,158933,158293,157687,157096,156745,156613,156713,159128,159420,159699,159834,159900,160928,162478,163605,164465,165065,166374,169487,171393,172916
서울,,,,540954,538876,536079,532409,529733,525131,521123,515846,511823,508217,505494,499900,496180,494168,493675,494492,495511,493908,490682,488116,488428,490519,490840,490524,490995,492451,494338,494478,494042,493673,493652,494256,496425,498452,499009,498927,500454,502150,504979,508683,512004,515481,537536,540479,543833,547153,549204,551299,551346,550462,550313,550936,552227,553603,555720,558017,554800,559311,562096,562278,562025,562529,565946,567740,570287,576774,579325,582818,582609,584459,587516,659905,673522,686220,691838,693673,694435,694739,695931,702383,716453,720347,719724,717749,810129,806027,802157,799211,797617,797214,798302,799721,801480,807121,813573,827228,877128,877185,876857,873791,870742,871897,881834,886216,888511,889368,890267,893100,897254,903824
,강북지역,,,405962,405406,404184,402746,401085,398926,397172,395249,393488,391170,388608,387452,385618,383934,382573,381237,381029,380325,378797,376683,375954,376964,377256,377406,379616,380414,381523,381927,381727,381451,381195,381154,381918,382963,383563,383895,382644,383423,384840,386722,388210,389958,400498,402532,404994,407664,410074,411377,411597,411811,411877,412123,412538,413229,414115,415260,416658,418503,420373,421143,421420,421504,421866,423336,424894,427676,430030,431864,431976,432692,433923,495826,499764,505766,510345,512411,514258,516310,518747,523574,531666,534976,535854,535332,631013,629346,627519,625925,624851,624186,624516,625416,626779,630124,633544,637388,675350,676819,678287,678617,677858,678430,685811,689877,692167,693234,694164,696247,698717,703759
,,도심권,,706316,705830,702286,701482,700462,696729,694054,689612,684578,678713,672797,664990,663022,662121,659889,653880,652487,651185,647799,643277,641192,639542,638749,638011,636948,634876,633539,632570,631387,630596,630254,630017,630571,631705,632460,632909,629952,630734,632305,634005,635143,636160,658615,659694,661062,662942,664385,665258,665619,665904,666110,666834,667662,669076,671082,673119,675407,678120,680474,681490,682251,682538,684022,685981,688228,692744,696339,700519,701010,702032,703828,843657,853086,870844,881688,886041,889833,893521,899063,912257,924886,929826,930707,929786,1072816,1070072,1067634,1065136,1063994,1062936,1063430,1064677,1066681,1071610,1077688,1084210,1138146,1139670,1140734,1139946,1138092,1138299,1146247,1151761,1155219,1156252,1157417,1160062,1163121,1168493
