sidx,skey,sday,sclose,sopen,shigh,slow,svol,syest,splus,sallvol,scom,sfor,scoms
3993,20050103,2005-01-03,33550,33850,34400,33400,74311,33800,-250,74311,3280,15530,55501
3992,20050104,2005-01-04,33600,33850,34050,33300,74824,33550,50,74824,-31620,15590,59234
3991,20050105,2005-01-05,35000,33450,35000,33450,108890,33600,1400,108890,44170,12550,52170
3990,20050106,2005-01-06,34400,34800,35300,34400,113929,35000,-600,113929,-20566,19220,94709
3989,20050107,2005-01-07,33000,34300,34800,32750,91600,34400,-1400,91600,-14790,-34900,91600
3988,20050110,2005-01-10,34000,33100,34500,33000,41952,33000,1000,41952,-4444,12290,29662
3987,20050111,2005-01-11,33950,34300,34300,33000,61364,34000,-50,61364,13330,-14610,48034
3986,20050112,2005-01-12,34000,33400,34500,33400,80750,33950,50,80750,27290,-17680,53460
3985,20050113,2005-01-13,33900,34000,34550,33850,80592,34000,-100,80592,-8762,-1221,80592
3984,20050114,2005-01-14,34500,33550,34500,33550,105731,33900,600,105731,-44055,31920,73811
3983,20050117,2005-01-17,36650,35400,36650,34500,215676,34500,2150,215676,25590,75200,114886
3982,20050118,2005-01-18,35800,36700,36700,35800,59116,36650,-850,59116,-7083,7360,51756
3981,20050119,2005-01-19,36300,36500,36500,35600,95912,35800,500,95912,13080,-21200,82832
3980,20050120,2005-01-20,36700,36200,37100,35850,81635,36300,400,81635,6930,20850,53855
3979,20050121,2005-01-21,36500,36750,37350,36150,80077,36700,-200,80077,3550,6960,69567
3978,20050124,2005-01-24,38300,37000,38650,37000,149636,36500,1800,149636,50105,-8420,99531
3977,20050125,2005-01-25,37750,37700,38450,37200,86220,38300,-550,86220,18820,-20840,67400
3976,20050126,2005-01-26,38700,37300,39350,37300,121213,37750,950,121213,-14210,42740,78473
3975,20050127,2005-01-27,38800,39000,39700,38700,90040,38700,100,90040,-11324,19484,70556
3974,20050128,2005-01-28,38000,39350,39350,37400,78046,38800,-800,78046,-20183,8420,69626
3973,20050131,2005-01-31,37800,37750,38700,37250,95730,38000,-200,95730,1662,-19690,94068
3972,20050201,2005-02-01,38300,37800,38900,37800,60170,37800,500,60170,922,5260,53988
3971,20050202,2005-02-02,39400,39000,39500,38550,110750,38300,1100,110750,33056,-1310,77694
3970,20050203,2005-02-03,39400,39000,39400,38900,58453,39400,0,58453,-11595,19010,39443
3969,20050204,2005-02-04,39250,39250,39500,38300,117997,39400,-150,117997,18250,-46544,99747
3968,20050207,2005-02-07,39350,39200,39500,38850,147751,39250,100,147751,26920,-48570,120831
3967,20050211,2005-02-11,39350,39300,39400,38400,64161,39350,0,64161,11520,-8212,52641
3966,20050214,2005-02-14,40500,39500,41300,39500,270900,39350,1150,270900,28540,-90500,242360
3965,20050215,2005-02-15,40800,40000,41000,39200,285485,40500,300,285485,30900,-114380,254585
3964,20050216,2005-02-16,43400,41200,45000,41000,625712,40800,2600,625712,-149700,258400,367312
3963,20050217,2005-02-17,43450,43200,43900,43150,253466,43400,50,253466,-26,-27996,253466
3962,20050218,2005-02-18,43500,42700,43700,42700,78731,43450,50,78731,3470,-11620,75261
3961,20050221,2005-02-21,44500,42900,44500,41800,293710,43500,1000,293710,10641,-7020,283069
3960,20050222,2005-02-22,41200,43500,44100,41200,206442,44500,-3300,206442,-75620,-6210,206442
3959,20050223,2005-02-23,42700,41200,42750,40900,176265,41200,1500,176265,-2038,31740,144525
3958,20050224,2005-02-24,44000,43100,45750,43100,205974,42700,1300,205974,-2366,70250,135724
3957,20050225,2005-02-25,45700,44400,47050,44400,122650,44000,1700,122650,-2600,31100,91550
3956,20050228,2005-02-28,47500,47000,48050,45600,162474,45700,1800,162474,-34880,45140,117334
3955,20050302,2005-03-02,47700,48500,50900,47000,267957,47500,200,267957,-31900,-10970,267957
3954,20050303,2005-03-03,50000,48500,50100,47200,242706,47700,2300,242706,-18010,51990,190716
3953,20050304,2005-03-04,48150,49500,49500,47550,144040,50000,-1850,144040,-26946,-6350,144040
3952,20050307,2005-03-07,46200,48300,49800,46150,127165,48150,-1950,127165,-8110,-4980,127165
3951,20050308,2005-03-08,46000,47500,47500,45000,125090,46200,-200,125090,-2060,-720,125090
3950,20050309,2005-03-09,46800,46000,47500,45600,185850,46000,800,185850,-64776,35840,150010
3949,20050310,2005-03-10,47950,47500,49000,47400,292418,46800,1150,292418,-52720,107370,185048
3948,20050311,2005-03-11,48300,48150,48950,47400,126125,47950,350,126125,19682,-9880,106443
3947,20050314,2005-03-14,48000,48300,49200,48000,181346,48300,-300,181346,-8430,21006,160340
3946,20050315,2005-03-15,46450,48050,48400,46100,217148,48000,-1550,217148,-12058,40434,176714
3945,20050316,2005-03-16,47250,46450,47700,46450,115347,46450,800,115347,-4040,22330,93017
3944,20050317,2005-03-17,46500,47250,47350,46500,164222,47250,-750,164222,-5490,14110,150112
3943,20050318,2005-03-18,44700,46600,47200,44450,152504,46500,-1800,152504,8160,-15880,144344
3942,20050321,2005-03-21,43700,44950,44950,43000,146506,44700,-1000,146506,-4310,-11970,146506
3941,20050322,2005-03-22,44300,41900,44400,41900,74400,43700,600,74400,-4820,15700,58700
3940,20050323,2005-03-23,44950,43950,44950,42700,86859,44300,650,86859,-4520,26640,60219
3939,20050324,2005-03-24,44900,43650,46000,43650,89541,44950,-50,89541,3642,23630,62269
3938,20050325,2005-03-25,45050,45600,45800,44900,39072,44900,150,39072,-12350,21290,17782
3937,20050328,2005-03-28,45950,45200,46450,45200,71032,45050,900,71032,468,28430,42134
3936,20050329,2005-03-29,45350,45600,46000,45100,39054,45950,-600,39054,-14470,21050,18004
3935,20050330,2005-03-30,43550,44200,45000,43500,185182,45350,-1800,185182,-16270,-10000,185182
3934,20050331,2005-03-31,43450,44100,44100,43000,58924,43550,-100,58924,5320,-12190,53604
3933,20050401,2005-04-01,43700,43000,43700,42650,132260,43450,250,132260,13110,-49740,119150
3932,20050404,2005-04-04,44000,43300,44450,43200,103178,43700,300,103178,-27810,37810,65368
3931,20050406,2005-04-06,44000,44700,44800,43800,145367,44000,0,145367,30246,-32270,115121
3930,20050407,2005-04-07,44000,43850,44200,43700,195765,44000,0,195765,10420,-5440,185345
3929,20050408,2005-04-08,47200,45300,47300,45100,352560,44000,3200,352560,-58080,99720,252840
3928,20050411,2005-04-11,48000,46800,48000,46800,203239,47200,800,203239,-18810,49090,154149
3927,20050412,2005-04-12,47800,48000,48200,47400,118140,48000,-200,118140,-1265,25550,92590
3926,20050413,2005-04-13,48200,47850,48700,47850,125055,47800,400,125055,-12980,59440,65615
3925,20050414,2005-04-14,46800,47300,48200,46800,102159,48200,-1400,102159,-21630,26835,75324
3924,20050415,2005-04-15,47000,46950,47100,44900,94720,46800,200,94720,2470,5420,86830
3923,20050418,2005-04-18,46300,46700,46700,44500,125150,47000,-700,125150,20580,-7960,104570
3922,20050419,2005-04-19,45200,46500,46600,45200,66233,46300,-1100,66233,4690,-11570,61543
3921,20050420,2005-04-20,46000,45700,46450,45000,119862,45200,800,119862,-14405,22940,96922
3920,20050421,2005-04-21,45000,45000,45700,44750,50050,46000,-1000,50050,-8300,-500,50050
3919,20050422,2005-04-22,45350,46000,46000,44500,43080,45000,350,43080,9500,-1460,33580
3918,20050425,2005-04-25,46600,45000,47100,45000,90841,45350,1250,90841,-10390,36060,54781
3917,20050426,2005-04-26,46000,46500,46800,45550,80150,46600,-600,80150,-7100,11660,68490
3916,20050427,2005-04-27,44300,45300,45450,43900,80684,46000,-1700,80684,-11970,5230,75454
3915,20050428,2005-04-28,44500,45200,45900,44500,38193,44300,200,38193,233,11550,26410
3914,20050429,2005-04-29,43750,44100,44850,43300,43613,44500,-750,43613,10250,-18120,33363
3913,20050502,2005-05-02,44900,44300,45000,44000,24917,43750,1150,24917,13560,-8150,11357
3912,20050503,2005-05-03,46400,45300,46450,45300,105460,44900,1500,105460,-13980,32190,73270
3911,20050504,2005-05-04,46900,46300,47000,46000,42379,46400,500,42379,18147,-120,24232
3910,20050506,2005-05-06,45500,46400,47400,45350,71746,46900,-1400,71746,-3690,-20090,71746
3909,20050509,2005-05-09,44500,45600,45800,44500,107210,45500,-1000,107210,1800,-10350,105410
3908,20050510,2005-05-10,46850,45800,47050,45500,169686,44500,2350,169686,-12957,77510,92176
3907,20050511,2005-05-11,46700,46800,47050,45500,113243,46850,-150,113243,800,4600,107843
3906,20050512,2005-05-12,46500,46250,46800,46000,44712,46700,-200,44712,2571,13940,28201
3905,20050513,2005-05-13,47900,46050,47900,45800,117850,46500,1400,117850,-9120,40930,76920
3904,20050516,2005-05-16,46300,47700,47700,46150,52391,47900,-1600,52391,9820,-21900,42571
3903,20050517,2005-05-17,45300,46100,46500,45150,84599,46300,-1000,84599,-8640,280,84319
3902,20050518,2005-05-18,46400,45750,46500,45650,51610,45300,1100,51610,-4500,20590,31020
3901,20050519,2005-05-19,47900,46900,47900,46550,119521,46400,1500,119521,-10670,50880,68641
3900,20050520,2005-05-20,47850,47900,48050,47750,83721,47900,-50,83721,-910,15050,68671
3899,20050523,2005-05-23,47800,47900,48200,47750,41209,47850,-50,41209,-4296,4500,36709
3898,20050524,2005-05-24,48700,47600,48850,47600,80614,47800,900,80614,3960,14140,62514
3897,20050525,2005-05-25,49450,48700,49650,48700,190320,48700,750,190320,-21780,70280,120040
3896,20050526,2005-05-26,49450,48700,49650,48500,23080,49450,0,23080,4825,-2030,18255
3895,20050527,2005-05-27,48750,49800,49800,48700,50697,49450,-700,50697,13330,-21240,37367
3894,20050530,2005-05-30,49000,49400,49450,48500,27552,48750,250,27552,4150,3740,19662
3893,20050531,2005-05-31,47750,48900,49000,47700,62224,49000,-1250,62224,9828,-23710,52396
3892,20050601,2005-06-01,49550,47300,49600,47300,64400,47750,1800,64400,13490,28170,22740
