,날짜,기준금리
0,2020.03.17,0.75
1,2019.10.16,1.25
2,2019.07.18,1.50
3,2018.11.30,1.75
4,2017.11.30,1.50
5,2016.06.09,1.25
6,2015.06.11,1.50
7,2015.03.12,1.75
8,2014.10.15,2.00
9,2014.08.14,2.25
10,2013.05.09,2.50
11,2012.10.11,2.75
12,2012.07.12,3.00
13,2011.06.10,3.25
14,2011.03.10,3.00
15,2011.01.13,2.75
16,2010.11.16,2.50
17,2010.07.09,2.25
18,2009.02.12,2.00
19,2009.01.09,2.50
20,2008.12.11,3.00
21,2008.11.07,4.00
22,2008.10.27,4.25
23,2008.10.09,5.00
24,2008.08.07,5.25
25,2007.08.09,5.00
26,2007.07.12,4.75
27,2006.08.10,4.50
28,2006.06.08,4.25
29,2006.02.09,4.00
30,2005.12.08,3.75
31,2005.10.11,3.50
32,2004.11.11,3.25
33,2004.08.12,3.50
34,2003.07.10,3.75
35,2003.05.13,4.00
36,2002.05.07,4.25
37,2001.09.19,4.00
38,2001.08.09,4.50
39,2001.07.05,4.75
40,2001.02.08,5.00
41,2000.10.05,5.25
42,2000.02.10,5.00
