,level_0,index,up_count,down_count,total_count,polar_score,polarity
0,2,물가/NNG;안정/NNG,527.0,357.0,884.0,1.373466509914274,Hawkish
1,6,인플레이션/NNG;압력/NNG,302.0,174.0,476.0,1.6148543948602754,Hawkish
2,20,인플레이션/NNG;억제/NNG,227.0,104.0,331.0,2.0308048550748588,Hawkish
3,23,물가/NNG;상승/NNG;압력/NNG,221.0,128.0,349.0,1.6064158448871335,Hawkish
4,29,유료뉴스/NNG;시장/NNG;플러스/NNG,187.0,117.0,304.0,1.4870700260362157,Hawkish
5,30,콜/NNG;인상/NNG,180.0,71.0,251.0,2.3587930065769904,Hawkish
6,36,하락/NNG;제한/NNG,161.0,98.0,259.0,1.5285353094207244,Hawkish
7,40,물가/NNG;불안/NNG,143.0,79.0,222.0,1.6841649364118274,Hawkish
8,43,통화/NNG;긴축/NNG,138.0,83.0,221.0,1.5469513974860345,Hawkish
9,46,수출/NNG;호조/NNG,134.0,73.0,207.0,1.7078810247011786,Hawkish
10,48,인상/NNG;없/VA,132.0,81.0,213.0,1.5162282618408471,Hawkish
11,49,통안채/NNG;오르/VV,130.0,78.0,208.0,1.550687995064503,Hawkish
12,56,집값/NNG;상승/NNG,123.0,68.0,191.0,1.6829525593494163,Hawkish
13,57,인플레이션/NNG;위험/NNG,122.0,61.0,183.0,1.8608255940774037,Hawkish
14,63,인플레이션/NNG;상승/NNG,116.0,83.0,199.0,1.3003359573071014,Hawkish
15,65,실적/NNG;호조/NNG,114.0,70.0,184.0,1.5152436980344572,Hawkish
16,69,부동산/NNG;거품/NNG,110.0,71.0,181.0,1.441484615130383,Hawkish
17,74,인상/NNG;가능성/NNG;높/VA,106.0,71.0,177.0,1.3890669927620056,Hawkish
18,75,유가/NNG;급등/NNG,105.0,70.0,175.0,1.3956191955580528,Hawkish
19,77,가격/NNG;안정/NNG,105.0,58.0,163.0,1.6843679946390289,Hawkish
20,80,서브프라임/NNG;부실/NNG,104.0,56.0,160.0,1.727909480214732,Hawkish
21,95,인상/NNG;부담/NNG,98.0,45.0,143.0,2.0262323135509503,Hawkish
22,97,인상/NNG;효과/NNG,92.0,44.0,136.0,1.9454085756263766,Hawkish
23,105,예상/NNG;하회/NNG,88.0,52.0,140.0,1.5745447334501108,Hawkish
24,111,높/VA;인상/NNG,87.0,30.0,117.0,2.6981971114122354,Hawkish
25,114,가격/NNG;인상/NNG,86.0,56.0,142.0,1.4288482240237206,Hawkish
26,120,대출/NNG;부담/NNG,83.0,49.0,132.0,1.5760053500859643,Hawkish
27,122,하방/NNG;경직/NNG,82.0,42.0,124.0,1.8165202227898465,Hawkish
28,124,부동산/NNG;안정/NNG,81.0,55.0,136.0,1.370244301093361,Hawkish
29,127,물가/NNG;압력/NNG,80.0,44.0,124.0,1.6916596309794576,Hawkish
30,134,국고채/NNG;낮/VA,79.0,56.0,135.0,1.3125466243938828,Hawkish
31,135,회복/NNG;둔화/NNG,78.0,34.0,112.0,2.134476416735845,Hawkish
32,137,유동성/NNG;흡수/NNG,77.0,48.0,125.0,1.492537195249584,Hawkish
33,140,개선/NNG;추세/NNG,77.0,50.0,127.0,1.4328357074396008,Hawkish
34,141,주택시장/NNG;침체/NNG,77.0,36.0,113.0,1.990049593666112,Hawkish
35,151,물가/NNG;잡/VV,73.0,45.0,118.0,1.509336315196116,Hawkish
36,153,소비/NNG;증가/NNG,72.0,51.0,123.0,1.3135239487605201,Hawkish
37,154,예상/NNG;많/VA,72.0,37.0,109.0,1.8105330104536899,Hawkish
38,163,하락/NNG;우려/NNG,70.0,43.0,113.0,1.514625483551375,Hawkish
39,166,가격/NNG;거품/NNG,68.0,45.0,113.0,1.4059571155251493,Hawkish
40,175,부동산/NNG;과열/NNG,67.0,40.0,107.0,1.5584414350398255,Hawkish
41,176,인상/NNG;가능성/NNG;크/VV,66.0,38.0,104.0,1.615980121172482,Hawkish
42,179,둔화/NNG;조짐/NNG,66.0,44.0,110.0,1.3956191955580526,Hawkish
43,193,인상/NNG;가능성/NNG;낮/VA,62.0,31.0,93.0,1.8608255940774039,Hawkish
