,level_0,index,up_count,down_count,total_count,polar_score,polarity
0,35,통화/NNG;완화/NNG,161.0,273.0,434.0,0.5487049828689781,Dovish
1,47,하락/NNG;채권/NNG;가격/NNG;상승/NNG,134.0,167.0,301.0,0.7465587712765631,Dovish
2,62,하방/NNG;위험/NNG,116.0,155.0,271.0,0.696308931977351,Dovish
3,73,인하/NNG;효과/NNG,107.0,290.0,397.0,0.3432902389073831,Dovish
4,92,통안채/NNG;하락/NNG,99.0,147.0,246.0,0.6266045367811666,Dovish
5,96,국채선물/NNG;강세/NNG,93.0,121.0,214.0,0.7151106621867708,Dovish
6,103,원화/NNG;약세/NNG,90.0,134.0,224.0,0.6249041174140534,Dovish
7,129,불확실성/NNG;크/VV,80.0,113.0,193.0,0.658699325337134,Dovish
8,133,수요/NNG;감소/NNG,79.0,102.0,181.0,0.7206138330005631,Dovish
9,143,양적완화/NNG;축소/NNG,76.0,144.0,220.0,0.4910511984370926,Dovish
10,144,고점/NNG;저점/NNG,75.0,95.0,170.0,0.7345364187147645,Dovish
11,145,수출/NNG;감소/NNG,74.0,103.0,177.0,0.6684519124355722,Dovish
12,150,수익성/NNG;악화/NNG,73.0,97.0,170.0,0.7002075689054147,Dovish
13,157,우려/NNG;완화/NNG,71.0,88.0,159.0,0.7506739612471344,Dovish
14,164,국채선물/NNG;하락/NNG,70.0,87.0,157.0,0.7486079976173463,Dovish
15,167,예상/NNG;부진/NNG,68.0,92.0,160.0,0.6876964152025187,Dovish
16,169,내수/NNG;부진/NNG,67.0,89.0,156.0,0.7004231168718317,Dovish
17,177,수출/NNG;부진/NNG,66.0,135.0,201.0,0.45486847855225415,Dovish
18,180,위험/NNG;줄/VV,66.0,83.0,149.0,0.739846320536799,Dovish
19,185,글로벌/NNG;침체/NNG,65.0,112.0,177.0,0.5399717125671037,Dovish
20,186,물가/NNG;하락/NNG,65.0,86.0,151.0,0.7032189745059956,Dovish
21,195,인하/NNG;압박/NNG,61.0,138.0,199.0,0.4112694247779769,Dovish
22,198,경제/NNG;충격/NNG,60.0,100.0,160.0,0.5582476782232211,Dovish
23,207,부양/NNG;효과/NNG,59.0,102.0,161.0,0.5381799512282687,Dovish
24,210,가계/NNG;대출/NNG;증가/NNG,58.0,75.0,133.0,0.7195192297099294,Dovish
25,235,비용/NNG;줄/VV,53.0,71.0,124.0,0.6945334963810028,Dovish
26,237,부작용/NNG;우려/NNG,53.0,73.0,126.0,0.6755051814116602,Dovish
27,246,경제/NNG;개선/NNG,51.0,63.0,114.0,0.7531913118884729,Dovish
28,248,소비/NNG;늘/VV,51.0,66.0,117.0,0.7189553431662695,Dovish
29,249,양적완화/NNG;종료/NNG,50.0,69.0,119.0,0.6742121717671753,Dovish
30,258,심리/NNG;회복/NNG,50.0,81.0,131.0,0.574328887060927,Dovish
31,262,유동성/NNG;확대/NNG,49.0,61.0,110.0,0.7473807713917441,Dovish
32,272,부정적/VAX;영향/NNG;줄/VV,48.0,62.0,110.0,0.7203195848041563,Dovish
33,283,디플레이션/NNG;우려/NNG,47.0,89.0,136.0,0.49134158944740425,Dovish
34,293,저점/NNG;고점/NNG,46.0,63.0,109.0,0.6793490264092109,Dovish
35,307,통화/NNG;강세/NNG,44.0,56.0,100.0,0.7310386262446943,Dovish
36,310,달러원/NNG;오르/VV,43.0,59.0,102.0,0.6780974622485453,Dovish
37,316,gdp/NNG;성장/NNG,43.0,56.0,99.0,0.7144241120118603,Dovish
38,319,경제/NNG;활력/NNG,42.0,87.0,129.0,0.44916479857040775,Dovish
39,331,실업률/NNG;하락/NNG,42.0,56.0,98.0,0.6978095977790263,Dovish
40,341,채권/NNG;가격/NNG;오르/VV,41.0,51.0,92.0,0.7479789152664073,Dovish
41,349,인상/NNG;미루/VV,40.0,54.0,94.0,0.6891946644731124,Dovish
42,350,수출/NNG;늘/VV,40.0,50.0,90.0,0.7443302376309614,Dovish
43,351,원달러/NNG;급등/NNG,40.0,63.0,103.0,0.5907382838340963,Dovish
44,356,내수/NNG;진작/NNG,39.0,53.0,92.0,0.6846433789530069,Dovish
45,363,인하/NNG;압력/NNG,39.0,57.0,96.0,0.6365982295527959,Dovish
46,372,인하/NNG;가능성/NNG;높/VA,38.0,53.0,91.0,0.6670884205183145,Dovish
47,374,돈/NNG;풀/VV,38.0,76.0,114.0,0.46520639851935097,Dovish
48,375,소비/NNG;부진/NNG,38.0,49.0,87.0,0.7215446181116463,Dovish
49,378,경제/NNG;불안/NNG,37.0,50.0,87.0,0.6885054698086394,Dovish
50,383,원화/NNG;하락/NNG,37.0,49.0,86.0,0.7025566018455504,Dovish
51,387,물가/NNG;상승률/NNG;낮/VA,37.0,73.0,110.0,0.4715790889100269,Dovish
52,395,경제/NNG;살/VV,36.0,70.0,106.0,0.4784980099056181,Dovish
53,400,주택시장/NNG;회복/NNG,36.0,46.0,82.0,0.7281491455085493,Dovish
54,412,경제/NNG;어렵/VA,35.0,43.0,78.0,0.7573127417756875,Dovish
55,413,순이익/NNG;감소/NNG,35.0,45.0,80.0,0.723654397696768,Dovish
56,421,글로벌/NNG;성장/NNG,34.0,45.0,79.0,0.7029785577625747,Dovish
57,442,경제/NNG;부정적/VAX,33.0,44.0,77.0,0.6978095977790263,Dovish
58,454,유가/NNG;오르/VV,32.0,44.0,76.0,0.6766638523917831,Dovish
59,455,통안채/NNG;낮/VA,32.0,43.0,75.0,0.6924002210520571,Dovish
60,461,긴장/NNG;완화/NNG,32.0,42.0,74.0,0.7088859406009156,Dovish
61,466,고용/NNG;호조/NNG,32.0,43.0,75.0,0.6924002210520571,Dovish
62,477,fed/NNG;양적완화/NNG;축소/NNG,31.0,73.0,104.0,0.39510680422191446,Dovish
63,478,수요/NNG;위축/NNG,31.0,46.0,77.0,0.6270173197434731,Dovish
64,481,경제/NNG;부진/NNG,31.0,45.0,76.0,0.6409510379599945,Dovish
65,483,개선/NNG;효과/NNG,31.0,44.0,75.0,0.6555181070045399,Dovish
66,484,소비/NNG;진작/NNG,31.0,41.0,72.0,0.7034828465414574,Dovish
67,486,내수/NNG;활성화/NNG,31.0,47.0,78.0,0.6136765257063779,Dovish
68,487,불확실성/NNG;확대/NNG,31.0,41.0,72.0,0.7034828465414574,Dovish
69,488,수요/NNG;둔화/NNG,31.0,38.0,69.0,0.7590209660052568,Dovish
70,490,내수/NNG;부양/NNG,30.0,56.0,86.0,0.4984354269850188,Dovish
71,491,최저/NNG;내리/VV,30.0,43.0,73.0,0.6491252072363036,Dovish
72,497,소득/NNG;감소/NNG,30.0,37.0,67.0,0.7543887543557042,Dovish
73,502,내수/NNG;침체/NNG,30.0,42.0,72.0,0.6645805693133585,Dovish
74,504,경제/NNG;타격/NNG,30.0,50.0,80.0,0.5582476782232211,Dovish
75,510,부동산/NNG;활성화/NNG,29.0,36.0,65.0,0.7494991976145098,Dovish
76,511,실적/NNG;우려/NNG,29.0,39.0,68.0,0.6918454131826244,Dovish
77,519,물가/NNG;부진/NNG,29.0,39.0,68.0,0.6918454131826244,Dovish
78,520,인플레이션/NNG;하락/NNG,29.0,47.0,76.0,0.5740844917898373,Dovish
79,525,국채/NNG;수익률/NNG;오르/VV,29.0,47.0,76.0,0.5740844917898373,Dovish
80,533,불안/NNG;증폭/NNG,28.0,41.0,69.0,0.6354038613922841,Dovish
81,552,인상/NNG;충격/NNG,28.0,37.0,65.0,0.7040961707319905,Dovish
82,555,채권시장/NNG;안정/NNG,28.0,60.0,88.0,0.43419263861806084,Dovish
83,559,비용/NNG;낮/VV,28.0,39.0,67.0,0.6679886747970166,Dovish
84,561,소비/NNG;감소/NNG,28.0,37.0,65.0,0.7040961707319905,Dovish
85,566,인하/NNG;없/VA,27.0,50.0,77.0,0.5024229104008989,Dovish
86,568,고용시장/NNG;개선/NNG,27.0,48.0,75.0,0.5233571983342697,Dovish
87,579,fed/NNG;완화/NNG,27.0,38.0,65.0,0.6610827768432881,Dovish
88,582,민평/NNG;오르/VV,27.0,44.0,71.0,0.570935125455567,Dovish
